highway,count,length
construction,2,6272.13
cycleway,2,1323.636
footway,91,4006.859
pedestrian,1,337.592
primary,24,10219.684
primary_link,5,214.88
residential,421,58454.147
secondary,11,7209.691
secondary_link,5,168.742
service,111,20867.99
steps,8,109.452
tertiary,35,9595.567
tertiary_link,3,49.566
track,1,590.769
trunk,18,7803.823
trunk_link,25,4436.864
unclassified,10,6568.667
