amenity,count
atm,3
bank,21
bus_station,2
cafe,1
car_wash,1
clinic,7
doctors,5
fire_station,2
ice_cream,1
kindergarten,1
library,1
nursing_home,1
pharmacy,12
place_of_worship,14
police,4
pub,1
recycling,1
restaurant,6
school,10
social_facility,1
taxi,1
telephone,4
toilets,3
