amenity,count
arts_centre,1
atm,4
bank,73
bench,1
bicycle_rental,3
bureau_de_change,2
cafe,16
cinema,1
clinic,25
college,3
culture_center,1
dentist,8
doctors,25
drinking_water,5
events_venue,2
fast_food,12
fire_station,1
fountain,2
fuel,1
hospital,1
ice_cream,1
kindergarten,1
library,6
music_school,4
nursing_home,5
parking,4
pharmacy,20
place_of_worship,20
police,1
recycling,1
restaurant,19
school,31
studio,1
taxi,7
telephone,2
toilets,7
university,1
waste_disposal,2
