highway,count,length
footway,41,1645.832
path,1,40.079
pedestrian,4,278.344
primary,15,4573.688
primary_link,2,141.185
residential,383,51386.596
secondary,31,14116.702
secondary_link,6,244.73
service,21,4509.64
steps,4,122.436
tertiary,17,6099.798
tertiary_link,1,31.161
