highway,count,length
footway,5,96.967
living_street,1,78.504
primary,6,6394.547
primary_link,4,200.159
residential,324,45966.008
secondary,3,643.37
service,1,209.732
steps,4,35.022
tertiary,12,3005.381
unclassified,6,1770.459
