highway,count,length
construction,46,13747.728
cycleway,2,1687.654
footway,67,3013.643
living_street,10,2650.416
pedestrian,3,184.373
primary,16,7299.959
primary_link,1,51.743
residential,394,45470.11
secondary,43,12818.016
secondary_link,14,468.119
service,107,13453.184
steps,10,396.717
tertiary,27,10280.855
tertiary_link,3,88.046
track,3,851.946
trunk,27,12293.642
trunk_link,38,9210.496
unclassified,38,4337.733
