highway,count,length
construction,18,5783.962
footway,107,6789.606
living_street,7,2343.826
path,3,85.525
primary,10,2554.198
primary_link,9,386.506
residential,232,28948.452
secondary,27,9764.885
secondary_link,10,269.508
service,8,692.038
steps,8,555.419
tertiary,11,4086.956
tertiary_link,1,38.992
trunk,11,5163.787
trunk_link,11,2202.908
