amenity,count
atm,2
bank,7
cafe,1
car_rental,1
clinic,7
community_centre,1
doctors,1
fast_food,1
fire_station,3
fuel,2
internet_cafe,8
kindergarten,1
marketplace,2
nursing_home,1
office,1
pharmacy,6
place_of_worship,6
police,2
restaurant,5
school,7
shower,1
