highway,count,length
footway,66,6748.011
residential,311,63099.14
secondary,12,14958.918
secondary_link,4,69.005
service,15,2278.006
steps,2,16.703
tertiary,12,8418.684
track,6,5778.035
unclassified,9,3179.989
