highway,count,length
construction,20,10409.811
cycleway,7,11583.451
footway,819,57160.782
living_street,6,1135.055
path,15,9038.4
pedestrian,31,6575.541
primary,144,69972.274
primary_link,34,1744.04
residential,2576,366368.979
secondary,247,77966.869
secondary_link,54,2157.124
service,371,56373.622
steps,67,1525.85
tertiary,198,59776.629
tertiary_link,25,487.3
track,72,39212.17
trunk,92,35045.559
trunk_link,103,17268.402
unclassified,52,35397.008
