,type,id,lat,lon,tags
0,node,8738567248,36.3953396,59.6703154,"{'amenity': 'car_wash', 'name': 'کارواش محمد'}"
1,node,8778200961,36.39634,59.6702344,"{'amenity': 'police', 'name': 'کلانتری ۳۱ شهرک مهرگان'}"
