highway,count,length
construction,12,4028.866
primary,9,1944.02
residential,83,13999.581
secondary,6,12303.352
service,76,9606.225
tertiary,11,2211.287
trunk,10,4247.346
trunk_link,14,2982.533
unclassified,4,578.358
