highway,count,length
construction,49,18762.705
cycleway,6,3113.227
footway,726,42325.574
living_street,97,11850.999
path,5,218.867
pedestrian,5,436.459
primary,77,29326.126
primary_link,35,1596.72
residential,2334,317530.125
secondary,156,51546.55
secondary_link,47,1588.204
service,289,35701.6
steps,53,1232.938
tertiary,155,55145.686
tertiary_link,17,439.95
track,7,3301.781
trunk,67,31176.141
trunk_link,79,19708.717
unclassified,87,17550.155
