highway,count,length
cycleway,1,2009.43
footway,37,3460.417
path,2,284.309
pedestrian,3,1888.923
primary,8,2832.619
residential,132,13640.811
secondary,13,4880.209
service,15,4865.359
steps,2,19.702
tertiary,8,2342.743
unclassified,1,893.887
