element_type,osmid,barrier,geometry,addr:city,addr:street,name,nodes,leisure,old_name,name:en,wikidata,int_name,name:ar,tourism,wikipedia,name:fa,created_by,access,opening_hours,alt_name,ways,type
way,30979159,,"POLYGON ((59.5568089 36.3147792, 59.5568378 36.315124, 59.5570429 36.315115, 59.557018 36.3147701, 59.5568089 36.3147792))",,,بوستان گلریز,"[344472383, 344472384, 344472385, 344472386, 344472383]",park,,,,,,,,,,,,,,
way,30979223,,"POLYGON ((59.5539402 36.3149433, 59.5542234 36.3149226, 59.5542616 36.3153506, 59.5543007 36.315794, 59.554026 36.3158078, 59.5539804 36.3153673, 59.5539402 36.3149433))",,,بوستان یاسمن,"[344473250, 344473251, 1034266812, 344473252, 344473253, 1034266816, 344473250]",park,,Yasaman Park,,,,,,,,,,,,
way,38001456,,"POLYGON ((59.5334234 36.3573459, 59.5343355 36.357813, 59.5350831 36.3568309, 59.5337427 36.356936, 59.5334234 36.3573459))",مشهد,,بوستان شمشاد,"[446309223, 446309225, 446309226, 446309228, 446309223]",park,,Shemshad Park,,,,,,,,,,,,
way,41814240,,"POLYGON ((59.627931 36.2835769, 59.627746 36.2834737, 59.6276023 36.2832924, 59.6263608 36.2840401, 59.6270396 36.2847321, 59.6275617 36.2851472, 59.6280854 36.2854966, 59.6286522 36.2858476, 59.6290678 36.2860863, 59.629457 36.2861634, 59.6295825 36.2861471, 59.62998 36.2859302, 59.6300959 36.285825, 59.6302678 36.2857232, 59.6303299 36.2857266, 59.6306299 36.2855456, 59.6310781 36.2852711, 59.6311373 36.2852109, 59.6312739 36.2851208, 59.6314064 36.2850657, 59.6316208 36.2849107, 59.6318855 36.2847022, 59.6321688 36.2844338, 59.6324084 36.2841679, 59.6328433 36.2835681, 59.6330294 36.2833352, 59.6331431 36.283215, 59.6330714 36.2831042, 59.632258 36.2830467, 59.6306675 36.2831361, 59.6303318 36.2831841, 59.6298954 36.2832282, 59.629691 36.2832282, 59.6295313 36.2831963, 59.6292596 36.2829899, 59.6292297 36.2829651, 59.627931 36.2835769))",مشهد,بولوار وحدت,بوستان وحدت,"[5391027157, 5391027155, 696536495, 516228629, 724158150, 516228632, 724158185, 724158245, 516228658, 516228659, 724158243, 724158089, 724158156, 724158199, 724158066, 724158133, 724158232, 724158107, 724158142, 724158094, 516228651, 516228653, 516228655, 724158208, 516228646, 724158248, 516228647, 516228649, 724158115, 516228636, 516228637, 724158101, 724158147, 516228639, 724158211, 5391027156, 5391027157]",park,,Vahdat Park,,,,,,,,,,,,
way,52156048,,"POLYGON ((59.5930164 36.2904384, 59.592711 36.2908395, 59.59267 36.2906411, 59.5927991 36.2904406, 59.5927378 36.2903924, 59.5932046 36.2896868, 59.5933148 36.2898183, 59.5930154 36.2903289, 59.5930164 36.2904384))",,,بوستان رازی,"[1052634185, 664474729, 664474730, 1052634059, 664474686, 664474687, 1052634488, 664474685, 1052634185]",park,,,,,,,,,,,,,,
way,52156050,,"POLYGON ((59.5777392 36.301417, 59.5776181 36.3012581, 59.5781986 36.301079, 59.5784197 36.300975, 59.578681 36.3008895, 59.5790372 36.3008403, 59.5791684 36.301008, 59.578767 36.3011016, 59.5782076 36.3012734, 59.5777392 36.301417))",,,پارک خطی قره خان,"[664474696, 664474697, 664474698, 664474699, 2318577390, 664474700, 664474701, 664474702, 664474703, 664474696]",park,,,,,,,,,,,,,,
way,52156051,,"POLYGON ((59.5794476 36.3010992, 59.5791774 36.300762, 59.5794836 36.300641, 59.5798729 36.3005838, 59.5800381 36.3004684, 59.5801251 36.3005047, 59.5802883 36.3004466, 59.5804734 36.3004378, 59.5805305 36.3004128, 59.5806155 36.3006402, 59.5804744 36.3006822, 59.5803213 36.3006281, 59.5796668 36.3008378, 59.5794476 36.3010992))",,,پارک خطی قره خان,"[664474704, 664474705, 664474706, 664474707, 2318577379, 2318577381, 2318577378, 2318577376, 664474708, 664474709, 2318577386, 664474710, 664474711, 664474704]",park,,,,,,,,,,,,,,
way,52156052,,"POLYGON ((59.5833413 36.3006523, 59.5834905 36.3007279, 59.5836625 36.3004927, 59.5837206 36.3004101, 59.5837718 36.3003415, 59.5838418 36.3002477, 59.5840711 36.300269, 59.584185 36.3001031, 59.5842416 36.3000206, 59.5842728 36.2999753, 59.5843454 36.2998695, 59.5843149 36.2998495, 59.5843468 36.2998061, 59.5843795 36.2997616, 59.5844194 36.2997073, 59.584473 36.2996344, 59.5845002 36.2995974, 59.5845507 36.2996226, 59.584579 36.2995829, 59.584645 36.2994902, 59.5847251 36.2993735, 59.5848027 36.2992661, 59.5848648 36.29918, 59.5849694 36.2990351, 59.5851458 36.2990668, 59.5852386 36.2989573, 59.5850247 36.2988464, 59.5848483 36.298975, 59.5846406 36.2991043, 59.584408 36.299421, 59.5843599 36.2996317, 59.5842139 36.2998282, 59.5841785 36.2998484, 59.5840026 36.299949, 59.5839212 36.2999955, 59.5837735 36.3000799, 59.5837118 36.3001152, 59.5833413 36.3006523))",,,پارک خطی قره خان,"[664474712, 664474728, 5325900546, 5325900545, 5325900554, 664474727, 664474726, 5325900569, 5325900570, 5325900573, 2318577371, 664474725, 5325900582, 5325900581, 5325900584, 5325900586, 664474724, 664474723, 5325900588, 5325900591, 5325900593, 5325900595, 5325900597, 664474722, 664474721, 664474720, 664474719, 664474718, 664474717, 664474716, 664474715, 664474714, 5325900611, 5325900603, 5325900602, 5325900599, 664474713, 664474712]",park,,Ghaem Park,,,,,,,,,,,,
way,52156054,,"POLYGON ((59.5924433 36.2908468, 59.592576 36.2909944, 59.5924056 36.2913553, 59.5922339 36.2912877, 59.5921982 36.2911634, 59.5924433 36.2908468))",,,بوستان رازی,"[664474733, 664474684, 664474680, 664474736, 664474734, 664474733]",park,,,,,,,,,,,,,,
way,52156056,,"POLYGON ((59.5712442 36.3035922, 59.5710081 36.3036701, 59.5700425 36.3043185, 59.5698602 36.3043618, 59.5698602 36.3044915, 59.5701176 36.3045174, 59.5706326 36.304137, 59.5709116 36.3039208, 59.5712442 36.3035922))",,,پارک خطی قره خان,"[664474753, 664474754, 664474755, 664474756, 664474757, 664474758, 664474759, 664474760, 664474753]",park,,,,,,,,,,,,,,
way,52156057,,"POLYGON ((59.5766293 36.3015396, 59.5765182 36.3013605, 59.5767844 36.3012927, 59.5770406 36.3012726, 59.5773329 36.3013057, 59.57745 36.3012573, 59.57756 36.3014194, 59.5771687 36.3015355, 59.5771307 36.3014815, 59.5768655 36.3014936, 59.5766293 36.3015396))",,,بوستان شهید کلاهدوز,"[664474761, 664474762, 2318577398, 2318577397, 664474763, 2318577396, 664474764, 2318577401, 2318577399, 2318577400, 664474761]",park,,Shahid Kolahdouz park,,,,,,,,,,,,
