,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
خیرآباد,0,0,33,148,0,3,1,13,4,66.67,"[{'let': 36.3018205, 'lon': 59.6341257}, {'let': 36.3018205, 'lon': 59.6445943}, {'let': 36.312966, 'lon': 59.6445943}, {'let': 36.312966, 'lon': 59.6341257}, {'let': 36.3018205, 'lon': 59.6341257}]"
بلال,0,0,51,83,1,0,0,4,1,55.56,"[{'let': 36.3240809, 'lon': 59.6240169}, {'let': 36.3240809, 'lon': 59.6345173}, {'let': 36.330972, 'lon': 59.6345173}, {'let': 36.330972, 'lon': 59.6240169}, {'let': 36.3240809, 'lon': 59.6240169}]"
خواجه ربیع,6,0,167,491,4,6,3,82,5,88.89,"[{'let': 36.3257837, 'lon': 59.6247245}, {'let': 36.3257837, 'lon': 59.6461849}, {'let': 36.3593452, 'lon': 59.6461849}, {'let': 36.3593452, 'lon': 59.6247245}, {'let': 36.3257837, 'lon': 59.6247245}]"
بهمن,5,0,107,705,2,5,1,109,6,88.89,"[{'let': 36.3273831, 'lon': 59.6062435}, {'let': 36.3273831, 'lon': 59.6326973}, {'let': 36.3648893, 'lon': 59.6326973}, {'let': 36.3648893, 'lon': 59.6062435}, {'let': 36.3273831, 'lon': 59.6062435}]"
قائم,23,0,56,336,1,3,0,43,5,77.78,"[{'let': 36.3294918, 'lon': 59.5778328}, {'let': 36.3294918, 'lon': 59.5937705}, {'let': 36.3384956, 'lon': 59.5937705}, {'let': 36.3384956, 'lon': 59.5778328}, {'let': 36.3294918, 'lon': 59.5778328}]"
راهنمایی,0,0,46,167,0,16,9,28,13,66.67,"[{'let': 36.2971449, 'lon': 59.5632375}, {'let': 36.2971449, 'lon': 59.5773822}, {'let': 36.3073097, 'lon': 59.5773822}, {'let': 36.3073097, 'lon': 59.5632375}, {'let': 36.2971449, 'lon': 59.5632375}]"
سجاد شهر,13,1,244,530,2,26,6,76,17,100.0,"[{'let': 36.3100417, 'lon': 59.5414781}, {'let': 36.3100417, 'lon': 59.5699889}, {'let': 36.3261639, 'lon': 59.5699889}, {'let': 36.3261639, 'lon': 59.5414781}, {'let': 36.3100417, 'lon': 59.5414781}]"
احمد آباد,12,0,119,497,1,55,34,139,73,88.89,"[{'let': 36.2833058, 'lon': 59.5570641}, {'let': 36.2833058, 'lon': 59.5859518}, {'let': 36.300124, 'lon': 59.5859518}, {'let': 36.300124, 'lon': 59.5570641}, {'let': 36.2833058, 'lon': 59.5570641}]"
فلسطین,7,1,44,219,2,7,5,26,4,100.0,"[{'let': 36.300124, 'lon': 59.5523129}, {'let': 36.300124, 'lon': 59.5672354}, {'let': 36.3148917, 'lon': 59.5672354}, {'let': 36.3148917, 'lon': 59.5523129}, {'let': 36.300124, 'lon': 59.5523129}]"
آبکوه,0,2,10,124,0,4,2,13,2,77.78,"[{'let': 36.3053319, 'lon': 59.5626985}, {'let': 36.3053319, 'lon': 59.5740375}, {'let': 36.3133853, 'lon': 59.5740375}, {'let': 36.3133853, 'lon': 59.5626985}, {'let': 36.3053319, 'lon': 59.5626985}]"
ارشاد,5,3,118,210,1,15,1,29,5,100.0,"[{'let': 36.3095641, 'lon': 59.5602456}, {'let': 36.3095641, 'lon': 59.5779052}, {'let': 36.3241069, 'lon': 59.5779052}, {'let': 36.3241069, 'lon': 59.5602456}, {'let': 36.3095641, 'lon': 59.5602456}]"
بهشت,1,0,57,283,0,32,21,89,61,77.78,"[{'let': 36.2910495, 'lon': 59.5730303}, {'let': 36.2910495, 'lon': 59.5902273}, {'let': 36.3034919, 'lon': 59.5902273}, {'let': 36.3034919, 'lon': 59.5730303}, {'let': 36.2910495, 'lon': 59.5730303}]"
گوهرشاد,1,3,33,314,0,6,7,41,6,88.89,"[{'let': 36.3034919, 'lon': 59.5722297}, {'let': 36.3034919, 'lon': 59.5859143}, {'let': 36.3236348, 'lon': 59.5859143}, {'let': 36.3236348, 'lon': 59.5722297}, {'let': 36.3034919, 'lon': 59.5722297}]"
کلاهدوز,11,0,7,338,0,4,3,37,2,77.78,"[{'let': 36.3009547, 'lon': 59.5773822}, {'let': 36.3009547, 'lon': 59.5902776}, {'let': 36.3164062, 'lon': 59.5902776}, {'let': 36.3164062, 'lon': 59.5773822}, {'let': 36.3009547, 'lon': 59.5773822}]"
سناباد,2,0,20,166,0,14,14,85,8,77.78,"[{'let': 36.2925368, 'lon': 59.5840958}, {'let': 36.2925368, 'lon': 59.5990925}, {'let': 36.3033806, 'lon': 59.5990925}, {'let': 36.3033806, 'lon': 59.5840958}, {'let': 36.2925368, 'lon': 59.5840958}]"
سعد آباد,11,0,45,574,1,13,11,113,5,88.89,"[{'let': 36.2956033, 'lon': 59.5853215}, {'let': 36.2956033, 'lon': 59.6059469}, {'let': 36.3124625, 'lon': 59.6059469}, {'let': 36.3124625, 'lon': 59.5853215}, {'let': 36.2956033, 'lon': 59.5853215}]"
طرق,9,0,23,204,0,0,0,53,1,55.56,"[{'let': 36.1998309, 'lon': 59.6602866}, {'let': 36.1998309, 'lon': 59.6932281}, {'let': 36.2266951, 'lon': 59.6932281}, {'let': 36.2266951, 'lon': 59.6602866}, {'let': 36.1998309, 'lon': 59.6602866}]"
ایوان,8,0,77,113,0,0,0,24,1,55.56,"[{'let': 36.199023, 'lon': 59.6459743}, {'let': 36.199023, 'lon': 59.6683647}, {'let': 36.2086132, 'lon': 59.6683647}, {'let': 36.2086132, 'lon': 59.6459743}, {'let': 36.199023, 'lon': 59.6459743}]"
رباط,32,0,19,104,1,1,0,49,0,66.67,"[{'let': 36.1845764, 'lon': 59.6041747}, {'let': 36.1845764, 'lon': 59.6461755}, {'let': 36.2154452, 'lon': 59.6461755}, {'let': 36.2154452, 'lon': 59.6041747}, {'let': 36.1845764, 'lon': 59.6041747}]"
عسگریه,0,0,2,39,0,0,0,12,0,33.33,"[{'let': 36.2306676, 'lon': 59.624868}, {'let': 36.2306676, 'lon': 59.6325288}, {'let': 36.2351547, 'lon': 59.6325288}, {'let': 36.2351547, 'lon': 59.624868}, {'let': 36.2306676, 'lon': 59.624868}]"
انقلاب,2,0,147,286,2,0,0,42,2,66.67,"[{'let': 36.2154452, 'lon': 59.6079379}, {'let': 36.2154452, 'lon': 59.6268596}, {'let': 36.2400938, 'lon': 59.6268596}, {'let': 36.2400938, 'lon': 59.6079379}, {'let': 36.2154452, 'lon': 59.6079379}]"
شهرک ابوذر,2,0,10,65,0,0,0,27,0,44.44,"[{'let': 36.1988196, 'lon': 59.5994713}, {'let': 36.1988196, 'lon': 59.6268596}, {'let': 36.2172835, 'lon': 59.6268596}, {'let': 36.2172835, 'lon': 59.5994713}, {'let': 36.1988196, 'lon': 59.5994713}]"
شهرک بهارستان,2,0,127,275,0,0,0,25,1,55.56,"[{'let': 36.2113044, 'lon': 59.5918267}, {'let': 36.2113044, 'lon': 59.6193963}, {'let': 36.2375929, 'lon': 59.6193963}, {'let': 36.2375929, 'lon': 59.5918267}, {'let': 36.2113044, 'lon': 59.5918267}]"
کوی سیدی,20,0,123,280,1,4,0,74,4,77.78,"[{'lat': 36.2341119, 'lon': 59.624868}, {'lat': 36.2357021, 'lon': 59.6241251}, {'lat': 36.2389385, 'lon': 59.622505}, {'lat': 36.2409548, 'lon': 59.621534}, {'lat': 36.2437886, 'lon': 59.6201152}, {'lat': 36.2445652, 'lon': 59.6195894}, {'lat': 36.2454024, 'lon': 59.6187338}, {'lat': 36.2461725, 'lon': 59.6175483}, {'lat': 36.2473297, 'lon': 59.6153408}, {'lat': 36.247665, 'lon': 59.6143377}, {'lat': 36.2484524, 'lon': 59.610647}, {'lat': 36.2493176, 'lon': 59.6088445}, {'lat': 36.2518181, 'lon': 59.6068275}, {'lat': 36.2525352, 'lon': 59.6058967}, {'lat': 36.2534403, 'lon': 59.6042351}, {'lat': 36.2544959, 'lon': 59.6019351}]"
کوی ولیعصر,2,0,74,195,1,0,0,13,0,55.56,"[{'lat': 36.2414534, 'lon': 59.601966}, {'lat': 36.2371667, 'lon': 59.5988747}, {'lat': 36.2356253, 'lon': 59.5977978}, {'lat': 36.2354338, 'lon': 59.5976825}, {'lat': 36.235158, 'lon': 59.5975484}, {'lat': 36.2332043, 'lon': 59.5967826}, {'lat': 36.2328592, 'lon': 59.5966163}, {'lat': 36.2325618, 'lon': 59.5964098}, {'lat': 36.232288, 'lon': 59.5961631}]"
کوی المهدی,1,0,94,174,0,4,0,19,1,66.67,"[{'lat': 36.2472324, 'lon': 59.5899027}, {'lat': 36.2493133, 'lon': 59.5913404}, {'lat': 36.2507809, 'lon': 59.5925756}, {'lat': 36.2519695, 'lon': 59.5936324}, {'lat': 36.2555578, 'lon': 59.5967276}, {'lat': 36.2542839, 'lon': 59.5993911}, {'lat': 36.2534079, 'lon': 59.6011037}, {'lat': 36.2542017, 'lon': 59.6018708}]"
ایمان,0,0,27,75,0,3,0,17,0,44.44,"[{'let': 36.2459691, 'lon': 59.5816067}, {'let': 36.2459691, 'lon': 59.6019351}, {'let': 36.2571497, 'lon': 59.6019351}, {'let': 36.2571497, 'lon': 59.5816067}, {'let': 36.2459691, 'lon': 59.5816067}]"
کوی پلیس,19,0,128,384,2,9,1,105,3,88.89,"[{'let': 36.2341119, 'lon': 59.5988444}, {'let': 36.2341119, 'lon': 59.6252087}, {'let': 36.2623772, 'lon': 59.6252087}, {'let': 36.2623772, 'lon': 59.5988444}, {'let': 36.2341119, 'lon': 59.5988444}]"
پروین اعتصامی,7,0,28,98,0,1,0,16,0,55.56,"[{'let': 36.2524713, 'lon': 59.6087587}, {'let': 36.2524713, 'lon': 59.6198295}, {'let': 36.2619322, 'lon': 59.6198295}, {'let': 36.2619322, 'lon': 59.6087587}, {'let': 36.2524713, 'lon': 59.6087587}]"
مقدم,0,0,11,112,0,6,0,7,0,44.44,"[{'let': 36.2579651, 'lon': 59.6044645}, {'let': 36.2579651, 'lon': 59.6150351}, {'let': 36.267787, 'lon': 59.6150351}, {'let': 36.267787, 'lon': 59.6044645}, {'let': 36.2579651, 'lon': 59.6044645}]"
کارگران,1,0,52,300,1,1,0,24,2,77.78,"[{'let': 36.2557006, 'lon': 59.6160181}, {'let': 36.2557006, 'lon': 59.6314564}, {'let': 36.2708723, 'lon': 59.6314564}, {'let': 36.2708723, 'lon': 59.6160181}, {'let': 36.2557006, 'lon': 59.6160181}]"
هفده شهریور,2,0,45,383,0,6,1,29,3,77.78,"[{'let': 36.2609384, 'lon': 59.6091745}, {'let': 36.2609384, 'lon': 59.6258223}, {'let': 36.2765014, 'lon': 59.6258223}, {'let': 36.2765014, 'lon': 59.6091745}, {'let': 36.2609384, 'lon': 59.6091745}]"
کوشش,1,1,12,286,1,21,2,58,6,100.0,"[{'let': 36.2558809, 'lon': 59.5932717}, {'let': 36.2558809, 'lon': 59.6091745}, {'let': 36.2736422, 'lon': 59.6091745}, {'let': 36.2736422, 'lon': 59.5932717}, {'let': 36.2558809, 'lon': 59.5932717}]"
عنصری,4,1,31,333,2,25,1,44,14,100.0,"[{'let': 36.267787, 'lon': 59.6034737}, {'let': 36.267787, 'lon': 59.6175466}, {'let': 36.2838522, 'lon': 59.6175466}, {'let': 36.2838522, 'lon': 59.6034737}, {'let': 36.267787, 'lon': 59.6034737}]"
شهید بهشتی,2,0,43,415,6,24,11,126,24,88.89,"[{'let': 36.2661716, 'lon': 59.5632791}, {'let': 36.2661716, 'lon': 59.5932623}, {'let': 36.289408, 'lon': 59.5932623}, {'let': 36.289408, 'lon': 59.5632791}, {'let': 36.2661716, 'lon': 59.5632791}]"
خمینی,0,0,29,211,4,21,6,55,10,77.78,"[{'let': 36.2628724, 'lon': 59.5786804}, {'let': 36.2628724, 'lon': 59.5958546}, {'let': 36.2838002, 'lon': 59.5958546}, {'let': 36.2838002, 'lon': 59.5786804}, {'let': 36.2628724, 'lon': 59.5786804}]"
خرمشهر,0,0,9,195,1,12,1,33,10,77.78,"[{'let': 36.2615683, 'lon': 59.585005}, {'let': 36.2615683, 'lon': 59.5986816}, {'let': 36.2749264, 'lon': 59.5986816}, {'let': 36.2749264, 'lon': 59.585005}, {'let': 36.2615683, 'lon': 59.585005}]"
امام رضا (ع),0,0,11,164,0,26,4,31,5,66.67,"[{'let': 36.2680562, 'lon': 59.5919761}, {'let': 36.2680562, 'lon': 59.6034737}, {'let': 36.2812164, 'lon': 59.6034737}, {'let': 36.2812164, 'lon': 59.5919761}, {'let': 36.2680562, 'lon': 59.5919761}]"
کوهسنگی,9,1,145,368,1,19,10,133,20,100.0,"[{'let': 36.2723337, 'lon': 59.5548083}, {'let': 36.2723337, 'lon': 59.5876574}, {'let': 36.2910495, 'lon': 59.5876574}, {'let': 36.2910495, 'lon': 59.5548083}, {'let': 36.2723337, 'lon': 59.5548083}]"
آبادگران,12,0,67,264,6,4,4,155,6,88.89,"[{'lat': 36.2571497, 'lon': 59.590989}, {'lat': 36.2536869, 'lon': 59.5891034}, {'lat': 36.2527785, 'lon': 59.5908952}, {'lat': 36.2521036, 'lon': 59.59023}, {'lat': 36.2541887, 'lon': 59.5865178}, {'lat': 36.2535139, 'lon': 59.5843076}, {'lat': 36.2526622, 'lon': 59.5816067}]"
ترمینال مسافربری امام رضا,0,0,0,83,1,0,0,79,0,33.33,"[{'let': 36.2558809, 'lon': 59.5830725}, {'let': 36.2558809, 'lon': 59.5989006}, {'let': 36.2639473, 'lon': 59.5989006}, {'let': 36.2639473, 'lon': 59.5830725}, {'let': 36.2558809, 'lon': 59.5830725}]"
ده دی,10,3,46,233,3,47,7,121,34,100.0,"[{'let': 36.2797072, 'lon': 59.5859518}, {'let': 36.2797072, 'lon': 59.6063187}, {'let': 36.2925368, 'lon': 59.6063187}, {'let': 36.2925368, 'lon': 59.5859518}, {'let': 36.2797072, 'lon': 59.5859518}]"
جنت,11,3,20,94,3,33,3,88,26,100.0,"[{'let': 36.2841024, 'lon': 59.5902273}, {'let': 36.2841024, 'lon': 59.6020954}, {'let': 36.2949381, 'lon': 59.6020954}, {'let': 36.2949381, 'lon': 59.5902273}, {'let': 36.2841024, 'lon': 59.5902273}]"
سلام,1,0,4,109,0,17,1,27,11,77.78,"[{'let': 36.2736422, 'lon': 59.5973553}, {'let': 36.2736422, 'lon': 59.607954}, {'let': 36.2818175, 'lon': 59.607954}, {'let': 36.2818175, 'lon': 59.5973553}, {'let': 36.2736422, 'lon': 59.5973553}]"
دانش,3,0,5,147,1,7,1,15,4,88.89,"[{'let': 36.2788585, 'lon': 59.5995748}, {'let': 36.2788585, 'lon': 59.6104833}, {'let': 36.2861807, 'lon': 59.6104833}, {'let': 36.2861807, 'lon': 59.5995748}, {'let': 36.2788585, 'lon': 59.5995748}]"
آیت الله خامنه ای,7,0,40,132,0,7,1,24,6,77.78,"[{'lat': 36.2909554, 'lon': 59.6063187}, {'lat': 36.2881847, 'lon': 59.6086612}, {'lat': 36.2838522, 'lon': 59.6122353}]"
سراب,4,0,56,115,1,21,2,77,3,88.89,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.2939669, 'lon': 59.6102006}]"
شهید بصیر,0,0,1,149,0,1,0,8,0,44.44,"[{'let': 36.3878799, 'lon': 59.5101929}, {'let': 36.3878799, 'lon': 59.5307574}, {'let': 36.4022119, 'lon': 59.5307574}, {'let': 36.4022119, 'lon': 59.5101929}, {'let': 36.3878799, 'lon': 59.5101929}]"
شهرک مطهری,0,0,0,71,0,0,0,1,0,22.22,"[{'let': 36.3859285, 'lon': 59.5234457}, {'let': 36.3859285, 'lon': 59.532836}, {'let': 36.3931115, 'lon': 59.532836}, {'let': 36.3931115, 'lon': 59.5234457}, {'let': 36.3859285, 'lon': 59.5234457}]"
مشهدقلی,1,0,0,79,0,0,0,1,0,33.33,"[{'let': 36.3833005, 'lon': 59.5256442}, {'let': 36.3833005, 'lon': 59.5346318}, {'let': 36.3909311, 'lon': 59.5346318}, {'let': 36.3909311, 'lon': 59.5256442}, {'let': 36.3833005, 'lon': 59.5256442}]"
توس,1,0,0,130,0,0,0,2,0,33.33,"[{'let': 36.3762947, 'lon': 59.5295282}, {'let': 36.3762947, 'lon': 59.5418711}, {'let': 36.3883635, 'lon': 59.5418711}, {'let': 36.3883635, 'lon': 59.5295282}, {'let': 36.3762947, 'lon': 59.5295282}]"
مهدی آباد,3,0,2,361,0,0,0,23,0,44.44,"[{'let': 36.2703044, 'lon': 59.6780686}, {'let': 36.2703044, 'lon': 59.705013}, {'let': 36.2847581, 'lon': 59.705013}, {'let': 36.2847581, 'lon': 59.6780686}, {'let': 36.2703044, 'lon': 59.6780686}]"
حضرت حجت,9,0,56,311,1,0,0,40,0,55.56,"[{'let': 36.3516093, 'lon': 59.5500109}, {'let': 36.3516093, 'lon': 59.5737907}, {'let': 36.3672796, 'lon': 59.5737907}, {'let': 36.3672796, 'lon': 59.5500109}, {'let': 36.3516093, 'lon': 59.5500109}]"
وحدت,35,0,70,925,2,6,0,56,7,77.78,"[{'let': 36.3362895, 'lon': 59.576143}, {'let': 36.3362895, 'lon': 59.6225393}, {'let': 36.3755849, 'lon': 59.6225393}, {'let': 36.3755849, 'lon': 59.576143}, {'let': 36.3362895, 'lon': 59.576143}]"
نوید,22,0,151,744,2,3,0,101,0,66.67,"[{'let': 36.3452517, 'lon': 59.5480044}, {'let': 36.3452517, 'lon': 59.6034419}, {'let': 36.3714845, 'lon': 59.6034419}, {'let': 36.3714845, 'lon': 59.5480044}, {'let': 36.3452517, 'lon': 59.5480044}]"
فدک,5,0,40,287,0,4,0,13,0,55.56,"[{'let': 36.3391161, 'lon': 59.5655724}, {'let': 36.3391161, 'lon': 59.5849983}, {'let': 36.3499005, 'lon': 59.5849983}, {'let': 36.3499005, 'lon': 59.5655724}, {'let': 36.3391161, 'lon': 59.5655724}]"
امیر,12,0,52,349,0,7,0,26,6,66.67,"[{'let': 36.3315986, 'lon': 59.5735399}, {'let': 36.3315986, 'lon': 59.5903212}, {'let': 36.3461091, 'lon': 59.5903212}, {'let': 36.3461091, 'lon': 59.5735399}, {'let': 36.3315986, 'lon': 59.5735399}]"
بهاران,9,0,55,122,0,0,0,8,0,44.44,"[{'let': 36.3389352, 'lon': 59.5471437}, {'let': 36.3389352, 'lon': 59.5683512}, {'let': 36.3481874, 'lon': 59.5683512}, {'let': 36.3481874, 'lon': 59.5471437}, {'let': 36.3389352, 'lon': 59.5471437}]"
جانباز,22,0,117,385,0,5,2,40,3,77.78,"[{'let': 36.3241069, 'lon': 59.5536768}, {'let': 36.3241069, 'lon': 59.5778328}, {'let': 36.3449684, 'lon': 59.5778328}, {'let': 36.3449684, 'lon': 59.5536768}, {'let': 36.3241069, 'lon': 59.5536768}]"
شهید فرامرز عباسی,1,0,80,162,1,2,4,11,6,88.89,"[{'let': 36.325304, 'lon': 59.543501}, {'let': 36.325304, 'lon': 59.5536768}, {'let': 36.340026, 'lon': 59.5536768}, {'let': 36.340026, 'lon': 59.543501}, {'let': 36.325304, 'lon': 59.543501}]"
هدایت,0,0,13,94,0,1,0,4,0,44.44,"[{'let': 36.3318039, 'lon': 59.5950365}, {'let': 36.3318039, 'lon': 59.6049365}, {'let': 36.3380656, 'lon': 59.6049365}, {'let': 36.3380656, 'lon': 59.5950365}, {'let': 36.3318039, 'lon': 59.5950365}]"
ایثارگران,7,2,337,1293,3,11,2,158,2,100.0,"[{'let': 36.3658332, 'lon': 59.4980271}, {'let': 36.3658332, 'lon': 59.5448811}, {'let': 36.3997806, 'lon': 59.5448811}, {'let': 36.3997806, 'lon': 59.4980271}, {'let': 36.3658332, 'lon': 59.4980271}]"
شفا,0,0,26,247,0,2,0,5,0,44.44,"[{'let': 36.3201594, 'lon': 59.6056956}, {'let': 36.3201594, 'lon': 59.6231243}, {'let': 36.3286706, 'lon': 59.6231243}, {'let': 36.3286706, 'lon': 59.6056956}, {'let': 36.3201594, 'lon': 59.6056956}]"
عامل,20,0,63,898,1,17,7,169,5,88.89,"[{'let': 36.2979703, 'lon': 59.5859143}, {'let': 36.2979703, 'lon': 59.609197}, {'let': 36.3200526, 'lon': 59.609197}, {'let': 36.3200526, 'lon': 59.5859143}, {'let': 36.2979703, 'lon': 59.5859143}]"
شهید مطهری,0,0,15,364,0,3,1,47,3,66.67,"[{'let': 36.3095457, 'lon': 59.5936793}, {'let': 36.3095457, 'lon': 59.608815}, {'let': 36.32058, 'lon': 59.608815}, {'let': 36.32058, 'lon': 59.5936793}, {'let': 36.3095457, 'lon': 59.5936793}]"
عبادی,2,0,19,463,1,6,1,68,5,88.89,"[{'let': 36.3031026, 'lon': 59.5988868}, {'let': 36.3031026, 'lon': 59.6144362}, {'let': 36.3166142, 'lon': 59.6144362}, {'let': 36.3166142, 'lon': 59.5988868}, {'let': 36.3031026, 'lon': 59.5988868}]"
هنرور,0,0,15,325,0,1,0,19,1,55.56,"[{'let': 36.3166142, 'lon': 59.6005654}, {'let': 36.3166142, 'lon': 59.6158853}, {'let': 36.3286706, 'lon': 59.6158853}, {'let': 36.3286706, 'lon': 59.6005654}, {'let': 36.3166142, 'lon': 59.6005654}]"
سمزقند,0,0,39,203,0,7,0,26,1,55.56,"[{'let': 36.3115763, 'lon': 59.608815}, {'let': 36.3115763, 'lon': 59.6197165}, {'let': 36.3216702, 'lon': 59.6197165}, {'let': 36.3216702, 'lon': 59.608815}, {'let': 36.3115763, 'lon': 59.608815}]"
حجت,3,0,20,178,0,3,0,4,0,55.56,"[{'let': 36.3141126, 'lon': 59.5895916}, {'let': 36.3141126, 'lon': 59.5980051}, {'let': 36.3265076, 'lon': 59.5980051}, {'let': 36.3265076, 'lon': 59.5895916}, {'let': 36.3141126, 'lon': 59.5895916}]"
نکاح,0,0,14,140,0,0,0,20,0,33.33,"[{'let': 36.3154388, 'lon': 59.5949936}, {'let': 36.3154388, 'lon': 59.6037939}, {'let': 36.3247999, 'lon': 59.6037939}, {'let': 36.3247999, 'lon': 59.5949936}, {'let': 36.3154388, 'lon': 59.5949936}]"
یاس,0,0,4,138,0,1,0,6,0,44.44,"[{'lat': 36.3247999, 'lon': 59.5980051}, {'lat': 36.3253645, 'lon': 59.5972306}, {'lat': 36.3265076, 'lon': 59.5956387}]"
فتح المبین,2,0,16,125,1,1,4,39,29,88.89,"[{'let': 36.3194043, 'lon': 59.5779052}, {'let': 36.3194043, 'lon': 59.5900865}, {'let': 36.3308402, 'lon': 59.5900865}, {'let': 36.3308402, 'lon': 59.5779052}, {'let': 36.3194043, 'lon': 59.5779052}]"
خاتم الانبیا,3,1,218,452,1,6,2,46,6,100.0,"[{'let': 36.363589, 'lon': 59.5148767}, {'let': 36.363589, 'lon': 59.5363659}, {'let': 36.3837383, 'lon': 59.5363659}, {'let': 36.3837383, 'lon': 59.5148767}, {'let': 36.363589, 'lon': 59.5148767}]"
گلبرگ شمالی,0,0,5,76,0,0,0,2,3,44.44,"[{'lat': 36.3265076, 'lon': 59.5956387}, {'lat': 36.3272445, 'lon': 59.5946221}, {'lat': 36.3290607, 'lon': 59.5920995}, {'lat': 36.3301065, 'lon': 59.5906268}]"
موسوی قوچانی,0,0,4,125,0,1,0,1,1,55.56,"[{'let': 36.3294853, 'lon': 59.5900865}, {'let': 36.3294853, 'lon': 59.6008649}, {'let': 36.3362334, 'lon': 59.6008649}, {'let': 36.3362334, 'lon': 59.5900865}, {'let': 36.3294853, 'lon': 59.5900865}]"
آپارتمان های مرتفع,7,0,35,10,0,1,0,5,0,55.56,"[{'lat': 36.3236348, 'lon': 59.5779052}, {'lat': 36.3241069, 'lon': 59.5699889}]"
گلبرگ,0,0,8,181,0,2,0,2,3,55.56,"[{'let': 36.3200526, 'lon': 59.5858097}, {'let': 36.3200526, 'lon': 59.5956387}, {'let': 36.3304901, 'lon': 59.5956387}, {'let': 36.3304901, 'lon': 59.5858097}, {'let': 36.3200526, 'lon': 59.5858097}]"
زمرد,22,0,26,171,0,3,0,13,6,66.67,"[{'let': 36.3354555, 'lon': 59.5851928}, {'let': 36.3354555, 'lon': 59.5982627}, {'let': 36.3434367, 'lon': 59.5982627}, {'let': 36.3434367, 'lon': 59.5851928}, {'let': 36.3354555, 'lon': 59.5851928}]"
پنجتن,3,0,105,342,1,1,5,20,2,88.89,"[{'let': 36.2971032, 'lon': 59.661161}, {'let': 36.2971032, 'lon': 59.6813835}, {'let': 36.3134718, 'lon': 59.6813835}, {'let': 36.3134718, 'lon': 59.661161}, {'let': 36.2971032, 'lon': 59.661161}]"
رده,0,0,28,385,1,0,0,10,4,55.56,"[{'let': 36.3070373, 'lon': 59.6534938}, {'let': 36.3070373, 'lon': 59.6732752}, {'let': 36.320111, 'lon': 59.6732752}, {'let': 36.320111, 'lon': 59.6534938}, {'let': 36.3070373, 'lon': 59.6534938}]"
پنجتن آل عبا,6,0,66,311,1,0,0,17,1,66.67,"[{'let': 36.3058221, 'lon': 59.675205}, {'let': 36.3058221, 'lon': 59.7065735}, {'let': 36.3251284, 'lon': 59.7065735}, {'let': 36.3251284, 'lon': 59.675205}, {'let': 36.3058221, 'lon': 59.675205}]"
شهید قربانی,2,0,35,478,0,0,0,31,3,55.56,"[{'let': 36.3125597, 'lon': 59.6673381}, {'let': 36.3125597, 'lon': 59.6998804}, {'let': 36.3321467, 'lon': 59.6998804}, {'let': 36.3321467, 'lon': 59.6673381}, {'let': 36.3125597, 'lon': 59.6673381}]"
ابوذر,1,0,16,240,0,3,0,3,1,66.67,"[{'let': 36.3017221, 'lon': 59.6445943}, {'let': 36.3017221, 'lon': 59.659034}, {'let': 36.3115926, 'lon': 59.659034}, {'let': 36.3115926, 'lon': 59.6445943}, {'let': 36.3017221, 'lon': 59.6445943}]"
وحید,0,0,34,225,0,2,0,14,2,55.56,"[{'let': 36.2990805, 'lon': 59.6487345}, {'let': 36.2990805, 'lon': 59.6623103}, {'let': 36.3082607, 'lon': 59.6623103}, {'let': 36.3082607, 'lon': 59.6487345}, {'let': 36.2990805, 'lon': 59.6487345}]"
تلگرد,0,0,63,263,1,7,3,36,3,77.78,"[{'let': 36.2935832, 'lon': 59.6502015}, {'let': 36.2935832, 'lon': 59.6657395}, {'let': 36.3063543, 'lon': 59.6657395}, {'let': 36.3063543, 'lon': 59.6502015}, {'let': 36.2935832, 'lon': 59.6502015}]"
ایثار,2,0,41,174,0,16,0,34,7,66.67,"[{'let': 36.2892256, 'lon': 59.6282883}, {'let': 36.2892256, 'lon': 59.6458698}, {'let': 36.3018205, 'lon': 59.6458698}, {'let': 36.3018205, 'lon': 59.6282883}, {'let': 36.2892256, 'lon': 59.6282883}]"
گلشور,2,0,66,285,2,9,4,46,9,88.89,"[{'let': 36.2880812, 'lon': 59.6419819}, {'let': 36.2880812, 'lon': 59.6608522}, {'let': 36.3017221, 'lon': 59.6608522}, {'let': 36.3017221, 'lon': 59.6419819}, {'let': 36.2880812, 'lon': 59.6419819}]"
طلاب,1,0,16,97,0,12,1,16,8,77.78,"[{'let': 36.2975392, 'lon': 59.6378606}, {'let': 36.2975392, 'lon': 59.6487345}, {'let': 36.3060047, 'lon': 59.6487345}, {'let': 36.3060047, 'lon': 59.6378606}, {'let': 36.2975392, 'lon': 59.6378606}]"
امیریه,5,1,297,756,2,12,0,101,4,88.89,"[{'let': 36.3711138, 'lon': 59.4694998}, {'let': 36.3711138, 'lon': 59.5199128}, {'let': 36.4020205, 'lon': 59.5199128}, {'let': 36.4020205, 'lon': 59.4694998}, {'let': 36.3711138, 'lon': 59.4694998}]"
الهیه,6,0,346,839,0,6,0,85,4,66.67,"[{'let': 36.3653953, 'lon': 59.4484914}, {'let': 36.3653953, 'lon': 59.500207}, {'let': 36.393794, 'lon': 59.500207}, {'let': 36.393794, 'lon': 59.4484914}, {'let': 36.3653953, 'lon': 59.4484914}]"
