,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
ناحیه ۲ منطقه ۶,25,0,184,1137,4,4,1,162,5,88.89,"[{'lat': 36.2580623, 'lon': 59.6260974}, {'lat': 36.2582247, 'lon': 59.6271372}, {'lat': 36.2591417, 'lon': 59.6424472}, {'lat': 36.2593839, 'lon': 59.6442282}, {'lat': 36.2600998, 'lon': 59.6464491}]"
ناحیه ۱ منطقه ۶,6,0,159,1030,3,12,5,93,9,88.89,"[{'lat': 36.2765014, 'lon': 59.6173075}, {'lat': 36.2760721, 'lon': 59.6175185}, {'lat': 36.2750309, 'lon': 59.6184383}, {'lat': 36.2739972, 'lon': 59.6191335}, {'lat': 36.2735085, 'lon': 59.6203123}, {'lat': 36.2733095, 'lon': 59.6208488}, {'lat': 36.2731452, 'lon': 59.6214174}, {'lat': 36.2729685, 'lon': 59.621976}, {'lat': 36.272745, 'lon': 59.6225071}, {'lat': 36.2724725, 'lon': 59.6230703}, {'lat': 36.2719838, 'lon': 59.6240145}, {'lat': 36.2708723, 'lon': 59.6258223}]"
پایین خیابان,7,0,22,28,0,2,0,43,2,66.67,"[{'let': 36.283597, 'lon': 59.6179855}, {'let': 36.283597, 'lon': 59.6241774}, {'let': 36.2924634, 'lon': 59.6241774}, {'let': 36.2924634, 'lon': 59.6179855}, {'let': 36.283597, 'lon': 59.6179855}]"
عیدگاه,8,0,55,139,4,5,0,34,4,77.78,"[{'let': 36.2765014, 'lon': 59.6122353}, {'let': 36.2765014, 'lon': 59.6238701}, {'let': 36.2865655, 'lon': 59.6238701}, {'let': 36.2865655, 'lon': 59.6122353}, {'let': 36.2765014, 'lon': 59.6122353}]"
بالا خیابان,4,0,47,139,2,5,2,105,1,88.89,"[{'let': 36.2895793, 'lon': 59.6102006}, {'let': 36.2895793, 'lon': 59.6218526}, {'let': 36.2997119, 'lon': 59.6218526}, {'let': 36.2997119, 'lon': 59.6102006}, {'let': 36.2895793, 'lon': 59.6102006}]"
دریادل,0,0,5,111,2,1,0,23,1,66.67,"[{'let': 36.2959034, 'lon': 59.6178421}, {'let': 36.2959034, 'lon': 59.6282883}, {'let': 36.3029718, 'lon': 59.6282883}, {'let': 36.3029718, 'lon': 59.6178421}, {'let': 36.2959034, 'lon': 59.6178421}]"
نوغان,0,0,2,128,2,1,0,30,0,55.56,"[{'let': 36.2918261, 'lon': 59.6168616}, {'let': 36.2918261, 'lon': 59.6282883}, {'let': 36.2985391, 'lon': 59.6282883}, {'let': 36.2985391, 'lon': 59.6168616}, {'let': 36.2918261, 'lon': 59.6168616}]"
حرم مطهر رضوی,8,0,139,32,0,2,1,48,2,77.78,"[{'lat': 36.2895793, 'lon': 59.6183261}, {'lat': 36.2894366, 'lon': 59.6184871}, {'lat': 36.2893264, 'lon': 59.6187714}, {'lat': 36.2892334, 'lon': 59.618994}, {'lat': 36.2893393, 'lon': 59.6193132}, {'lat': 36.2896009, 'lon': 59.6194768}, {'lat': 36.2896031, 'lon': 59.6197182}, {'lat': 36.2893977, 'lon': 59.6200991}, {'lat': 36.2885502, 'lon': 59.6208957}, {'lat': 36.2876746, 'lon': 59.6205926}, {'lat': 36.2866606, 'lon': 59.6197557}, {'lat': 36.2867298, 'lon': 59.6195251}, {'lat': 36.2866029, 'lon': 59.6193716}, {'lat': 36.2864595, 'lon': 59.6191982}, {'lat': 36.2863882, 'lon': 59.619112}, {'lat': 36.2865655, 'lon': 59.6179855}]"
ناحیه ۴ منطقه ۳,10,0,20,380,1,0,1,24,0,66.67,"[{'lat': 36.3823542, 'lon': 59.6748322}, {'lat': 36.3828157, 'lon': 59.6746449}, {'lat': 36.3837458, 'lon': 59.6748757}, {'lat': 36.3839497, 'lon': 59.6759142}, {'lat': 36.3849541, 'lon': 59.6765835}, {'lat': 36.384213, 'lon': 59.6787038}, {'lat': 36.3851879, 'lon': 59.6795076}, {'lat': 36.3864784, 'lon': 59.6800685}, {'lat': 36.387463, 'lon': 59.6804143}, {'lat': 36.3896021, 'lon': 59.6804836}, {'lat': 36.3919552, 'lon': 59.6803269}, {'lat': 36.3925902, 'lon': 59.6803562}, {'lat': 36.3932195, 'lon': 59.6803034}]"
ناحیه ۱ منطقه ۳,7,0,265,1379,4,47,8,334,18,88.89,"[{'lat': 36.3255976, 'lon': 59.6231243}, {'lat': 36.3266481, 'lon': 59.6237442}, {'lat': 36.3273831, 'lon': 59.6240169}]"
ناحیه ۲ منطقه ۳,14,0,342,1938,5,11,8,179,14,88.89,"[{'lat': 36.3115926, 'lon': 59.6534938}, {'lat': 36.3174804, 'lon': 59.6631082}]"
ناحیه ۳ منطقه ۳,10,0,288,1388,4,11,3,193,7,88.89,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3383941, 'lon': 59.6072375}, {'lat': 36.3401388, 'lon': 59.6080668}, {'lat': 36.3459258, 'lon': 59.6113781}, {'lat': 36.3468997, 'lon': 59.611901}, {'lat': 36.3507774, 'lon': 59.6126945}, {'lat': 36.3590943, 'lon': 59.614411}, {'lat': 36.3648893, 'lon': 59.6225393}]"
ناحیه ۲ منطقه ۸,31,4,337,1204,13,95,28,529,62,100.0,"[{'lat': 36.2797072, 'lon': 59.5973553}, {'lat': 36.2804672, 'lon': 59.5966016}, {'lat': 36.2812164, 'lon': 59.5958546}]"
