,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,stores,healthcare,acc
رباط,32.0,0.0,19.0,104.0,1.0,1.0,0.0,49.0,0.0,0.0,60.0
رده,0.0,0.0,28.0,385.0,1.0,0.0,0.0,10.0,0.0,4.0,50.0
رسالت,1.0,0.0,60.0,242.0,1.0,2.0,0.0,14.0,0.0,4.0,70.0
رضاشهر,16.0,0.0,221.0,377.0,0.0,11.0,6.0,87.0,0.0,5.0,70.0
رضاییه,0.0,0.0,55.0,216.0,0.0,5.0,0.0,15.0,0.0,4.0,50.0
زمرد,22.0,0.0,26.0,171.0,0.0,3.0,0.0,13.0,0.0,6.0,60.0
زکریا,20.0,0.0,168.0,463.0,1.0,7.0,5.0,55.0,0.0,5.0,80.0
زیبا شهر,0.0,0.0,25.0,81.0,0.0,0.0,2.0,6.0,0.0,0.0,40.0
سجاد شهر,13.0,1.0,244.0,530.0,2.0,26.0,6.0,76.0,0.0,17.0,90.0
سجادیه,0.0,0.0,28.0,116.0,0.0,0.0,0.0,6.0,0.0,0.0,30.0
سراب,4.0,0.0,56.0,115.0,1.0,21.0,2.0,77.0,0.0,3.0,80.0
سرافرازان,25.0,0.0,285.0,673.0,0.0,4.0,1.0,77.0,0.0,4.0,70.0
سعد آباد,11.0,0.0,45.0,574.0,1.0,13.0,11.0,113.0,0.0,5.0,80.0
سلام,1.0,0.0,4.0,109.0,0.0,16.0,1.0,27.0,1.0,11.0,80.0
سمزقند,0.0,0.0,39.0,203.0,0.0,7.0,0.0,26.0,0.0,1.0,50.0
سناباد,2.0,0.0,20.0,166.0,0.0,14.0,14.0,85.0,0.0,8.0,70.0
سید رضی,1.0,0.0,42.0,245.0,0.0,18.0,0.0,8.0,0.0,6.0,60.0
سیس آباد,9.0,0.0,100.0,527.0,2.0,1.0,2.0,78.0,1.0,0.0,80.0
شاهد,2.0,0.0,100.0,253.0,0.0,4.0,1.0,27.0,0.0,6.0,70.0
شریف,0.0,0.0,120.0,422.0,1.0,6.0,4.0,82.0,0.0,11.0,70.0
شفا,0.0,0.0,26.0,247.0,0.0,2.0,0.0,5.0,0.0,0.0,40.0
شهرآرا,2.0,0.0,92.0,421.0,1.0,8.0,1.0,117.0,1.0,8.0,90.0
شهرک ابوذر,2.0,0.0,10.0,65.0,0.0,0.0,0.0,27.0,0.0,0.0,40.0
شهرک امام هادی,8.0,0.0,47.0,286.0,2.0,4.0,0.0,125.0,0.0,1.0,70.0
شهرک بهارستان,2.0,0.0,127.0,275.0,0.0,0.0,0.0,25.0,0.0,1.0,50.0
شهرک رازی,3.0,0.0,70.0,394.0,1.0,2.0,2.0,110.0,0.0,5.0,80.0
شهرک شهید باهنر,2.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
شهرک شیرین,6.0,0.0,36.0,101.0,0.0,0.0,0.0,23.0,0.0,0.0,40.0
شهرک لشکر,2.0,0.0,250.0,454.0,0.0,5.0,2.0,56.0,0.0,9.0,70.0
شهرک مطهری,0.0,0.0,0.0,71.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0
شهرک مهر آباد,0.0,0.0,68.0,305.0,1.0,3.0,0.0,25.0,0.0,0.0,50.0
شهرک مهرگان,8.0,0.0,18.0,172.0,1.0,0.0,1.0,10.0,0.0,0.0,60.0
شهید آوینی,1.0,0.0,24.0,145.0,1.0,2.0,1.0,12.0,0.0,1.0,80.0
شهید احمدی روشن,0.0,0.0,2.0,93.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0
شهید بصیر,0.0,0.0,1.0,149.0,0.0,1.0,0.0,8.0,0.0,0.0,40.0
شهید بهشتی,2.0,0.0,43.0,415.0,6.0,24.0,11.0,126.0,0.0,24.0,80.0
شهید رضوی,1.0,0.0,44.0,102.0,0.0,1.0,0.0,7.0,0.0,1.0,60.0
شهید شهریاری,1.0,0.0,2.0,96.0,0.0,0.0,1.0,13.0,0.0,0.0,50.0
شهید علی محمدی,2.0,0.0,0.0,107.0,1.0,0.0,0.0,9.0,0.0,0.0,40.0
شهید فرامرز عباسی,1.0,0.0,80.0,162.0,1.0,2.0,4.0,11.0,0.0,6.0,80.0
شهید قربانی,2.0,0.0,35.0,478.0,0.0,0.0,0.0,31.0,0.0,3.0,50.0
شهید مطهری,0.0,0.0,15.0,364.0,0.0,3.0,1.0,47.0,0.0,3.0,60.0
شهید معقول,10.0,0.0,20.0,246.0,1.0,1.0,0.0,79.0,0.0,3.0,70.0
شهید هاشمی نژاد,3.0,0.0,45.0,229.0,1.0,10.0,4.0,166.0,0.0,5.0,80.0
شیرودی,0.0,0.0,23.0,205.0,0.0,2.0,0.0,7.0,0.0,0.0,40.0
طبرسی شمالی,3.0,0.0,15.0,371.0,0.0,0.0,0.0,24.0,0.0,4.0,50.0
طرق,9.0,0.0,23.0,204.0,0.0,0.0,0.0,53.0,0.0,1.0,50.0
طلاب,1.0,0.0,16.0,97.0,0.0,12.0,1.0,16.0,0.0,8.0,70.0
عامل,20.0,0.0,63.0,898.0,1.0,17.0,7.0,169.0,0.0,5.0,80.0
عبادی,2.0,0.0,19.0,463.0,1.0,6.0,1.0,68.0,0.0,5.0,80.0
عباس آباد,0.0,0.0,35.0,371.0,1.0,0.0,0.0,17.0,1.0,1.0,60.0
عسگریه,0.0,0.0,2.0,39.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0
عنصری,4.0,1.0,31.0,333.0,2.0,24.0,1.0,44.0,1.0,14.0,100.0
عیدگاه,8.0,0.0,55.0,139.0,4.0,5.0,0.0,34.0,0.0,4.0,70.0
فارغ التحصیلان,1.0,0.0,150.0,208.0,1.0,2.0,2.0,53.0,0.0,1.0,80.0
فاطمیه,2.0,0.0,57.0,288.0,0.0,17.0,3.0,34.0,1.0,4.0,80.0
فتح المبین,2.0,0.0,16.0,125.0,1.0,1.0,4.0,39.0,0.0,29.0,80.0
فدک,5.0,0.0,40.0,287.0,0.0,4.0,0.0,13.0,0.0,0.0,50.0
فردوسی,17.0,0.0,107.0,146.0,0.0,1.0,0.0,19.0,0.0,0.0,50.0
فرهنگ,2.0,0.0,72.0,282.0,0.0,22.0,2.0,23.0,0.0,12.0,70.0
فرهنگیان,1.0,0.0,100.0,330.0,0.0,5.0,0.0,31.0,0.0,13.0,60.0
فلسطین,7.0,1.0,44.0,219.0,2.0,7.0,5.0,26.0,0.0,4.0,90.0
قائم,23.0,0.0,56.0,336.0,1.0,3.0,0.0,43.0,0.0,5.0,70.0
محمد آباد,1.0,0.0,56.0,300.0,1.0,0.0,0.0,25.0,1.0,1.0,70.0
مشهدقلی,1.0,0.0,0.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0
مصطفی خمینی,5.0,0.0,58.0,144.0,1.0,0.0,0.0,25.0,1.0,0.0,60.0
مقدم,0.0,0.0,11.0,112.0,0.0,6.0,0.0,7.0,0.0,0.0,40.0
منطقه ثامن,22.0,0.0,272.0,701.0,8.0,43.0,14.0,323.0,1.0,24.0,90.0
منطقه ۱,83.0,8.0,644.0,2879.0,10.0,170.0,73.0,627.0,0.0,177.0,90.0
منطقه ۱۰,26.0,4.0,1499.0,3577.0,8.0,42.0,10.0,473.0,0.0,44.0,90.0
منطقه ۱۱,15.0,1.0,1163.0,2493.0,6.0,98.0,28.0,435.0,1.0,72.0,100.0
منطقه ۱۲,128.0,4.0,1856.0,5534.0,8.0,51.0,15.0,689.0,0.0,46.0,90.0
منطقه ۲,178.0,8.0,2130.0,7854.0,16.0,188.0,58.0,1389.0,1.0,139.0,100.0
منطقه ۳,63.0,0.0,690.0,5000.0,12.0,73.0,21.0,722.0,2.0,43.0,90.0
منطقه ۴,23.0,0.0,466.0,2679.0,8.0,39.0,13.0,259.0,2.0,28.0,90.0
