zone,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage
??????,17,0,107,146,0,1,0,19,0,55.56
?????,2,0,72,282,0,22,2,23,12,77.78
????????,1,0,100,330,0,5,0,31,13,66.67
??????,7,1,44,219,2,7,5,26,4,100
????,23,0,56,336,1,3,0,43,5,77.78
???? ????,1,0,56,300,1,1,0,25,1,77.78
???????,1,0,0,79,0,0,0,1,0,33.33
????? ?????,5,0,58,144,1,1,0,25,0,66.67
????,0,0,11,112,0,6,0,7,0,44.44
????? ????,22,0,272,701,8,44,14,323,24,88.89
????? ?,83,8,644,2879,10,170,73,627,177,100
????? ??,26,4,1499,3577,8,42,10,473,44,100
????? ??,15,1,1163,2493,6,99,28,435,72,100
????? ??,128,4,1856,5534,8,51,15,689,46,100
????? ?,178,8,2130,7854,16,189,58,1389,139,100
????? ?,63,0,690,5000,12,75,21,722,43,88.89
????? ?,23,0,466,2679,8,41,13,259,28,88.89
????? ?,24,0,469,3072,7,51,19,256,29,88.89
????? ?,33,0,316,2282,7,18,6,274,13,88.89
????? ?,122,1,850,3962,21,104,18,862,50,100
????? ?,55,5,651,2077,16,200,63,825,148,100
????? ?,193,3,2245,4803,16,151,57,1158,108,100
???? ????,3,0,2,361,0,0,0,23,0,44.44
????? ??????,0,0,4,125,0,1,0,1,1,55.56
?????,2,0,15,430,1,2,0,26,2,77.78
????? ? ????? ??,51,2,1241,2709,4,30,13,470,38,100
????? ? ????? ??,5,1,458,946,1,73,8,136,35,100
????? ? ????? ?,60,3,370,3146,5,58,28,470,66,100
????? ? ????? ?,7,0,265,1379,4,47,8,334,18,88.89
????? ? ????? ?,3,0,135,580,2,25,5,81,13,88.89
????? ? ????? ?,1,0,174,857,4,11,7,72,6,88.89
????? ? ????? ?,6,0,159,1030,3,12,5,93,9,88.89
????? ? ????? ?,28,1,304,1577,7,85,12,294,33,100
????? ? ????? ?,25,3,153,633,6,106,18,307,58,100
????? ? ????? ?,97,3,1379,2390,10,60,34,721,43,100
????? ? ????? ??,11,2,924,1625,4,26,6,214,28,100
????? ? ????? ??,7,0,521,1204,5,26,13,205,26,88.89
????? ? ????? ??,13,1,524,1335,2,14,2,152,6,100
????? ? ????? ?,61,0,263,1561,3,10,1,143,8,88.89
????? ? ????? ?,14,0,342,1938,5,11,8,179,14,88.89
????? ? ????? ?,3,0,80,507,1,9,3,48,10,88.89
????? ? ????? ?,18,0,219,1616,5,6,5,112,4,88.89
????? ? ????? ?,25,0,184,1137,4,4,1,162,5,88.89
????? ? ????? ?,25,0,331,737,4,5,0,196,4,77.78
????? ? ????? ?,31,4,337,1204,13,95,28,529,62,100
????? ? ????? ?,96,0,850,2576,6,60,25,472,54,88.89
????? ? ????? ??,22,4,731,2334,5,27,8,330,23,100
????? ? ????? ??,54,0,125,793,1,2,0,52,0,66.67
