,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
ناحیه ۲ منطقه ۹,107,0,953,2649,5,61,29,537,65,88.89,"{'minlat': 36.2865753, 'minlon': 59.4361146, 'maxlat': 36.347341, 'maxlon': 59.5155166}"
ناحیه ۱ منطقه ۹,101,3,1482,2447,10,59,38,765,51,100.0,"{'minlat': 36.2677017, 'minlon': 59.4869501, 'maxlat': 36.3230173, 'maxlon': 59.5632375}"
ناحیه ۳ منطقه ۷,64,0,211,481,1,1,0,229,1,77.78,"{'minlat': 36.1845764, 'minlon': 59.6041747, 'maxlat': 36.2266951, 'maxlon': 59.6932281}"
ناحیه ۲ منطقه ۷,25,0,427,763,3,5,1,211,5,88.89,"{'minlat': 36.1988196, 'minlon': 59.5816067, 'maxlat': 36.2571497, 'maxlon': 59.6325288}"
ناحیه ۱ منطقه ۷,28,1,416,1652,7,85,12,328,34,100.0,"{'minlat': 36.2341119, 'minlon': 59.5932717, 'maxlat': 36.2838522, 'maxlon': 59.6314564}"
ناحیه ۲ منطقه ۱۲,9,1,547,1394,2,14,4,203,7,100.0,"{'minlat': 36.3653953, 'minlon': 59.4484914, 'maxlat': 36.4020205, 'maxlon': 59.5199128}"
ناحیه ۳ منطقه ۱۲,56,0,133,976,0,2,0,65,0,55.56,"{'minlat': 36.4224365, 'minlon': 59.4453231, 'maxlat': 36.4989467, 'maxlon': 59.5465819}"
ناحیه ۳ منطقه ۴,14,0,171,1399,2,1,5,80,9,88.89,"{'minlat': 36.2971032, 'minlon': 59.6534938, 'maxlat': 36.3321467, 'maxlon': 59.7065735}"
ناحیه ۲ منطقه ۴,3,0,84,531,1,9,3,46,7,88.89,"{'minlat': 36.2935832, 'minlon': 59.6445943, 'maxlat': 36.3115926, 'maxlon': 59.6657395}"
ناحیه ۳ منطقه ۲,24,2,546,2126,5,25,3,303,12,100.0,"{'minlat': 36.3516093, 'minlon': 59.5101929, 'maxlat': 36.4022119, 'maxlon': 59.5737907}"
ناحیه ۱ منطقه ۴,3,0,144,613,2,24,5,83,12,88.89,"{'minlat': 36.2880812, 'minlon': 59.6282883, 'maxlat': 36.3060047, 'maxlon': 59.6608522}"
ناحیه ۲ منطقه ۲,63,0,280,1699,2,10,1,161,7,88.89,"{'minlat': 36.3362895, 'minlon': 59.5480044, 'maxlat': 36.3755849, 'maxlon': 59.6225393}"
ناحیه ۴ منطقه ۲,45,0,355,1050,2,14,7,143,38,88.89,"{'minlat': 36.3241069, 'minlon': 59.543501, 'maxlat': 36.3499005, 'maxlon': 59.5903212}"
ناحیه ۱ منطقه ۲,58,3,452,3313,4,56,29,520,71,100.0,"{'minlat': 36.2979703, 'minlon': 59.5699889, 'maxlat': 36.3434367, 'maxlon': 59.6240169}"
شهید احمدی روشن,0,0,2,97,0,0,0,2,0,33.33,"{'minlat': 36.3696854, 'minlon': 59.6631562, 'maxlat': 36.3828336, 'maxlon': 59.6791934}"
شهید علی محمدی,2,0,0,121,1,0,0,9,0,44.44,"{'minlat': 36.3819525, 'minlon': 59.6668333, 'maxlat': 36.3963997, 'maxlon': 59.6804836}"
شهرک مهرگان,8,0,18,188,1,0,1,9,0,66.67,"{'minlat': 36.3954131, 'minlon': 59.661154, 'maxlat': 36.4315822, 'maxlon': 59.6773141}"
شهید شهریاری,1,0,2,102,0,0,1,12,0,55.56,"{'minlat': 36.3932195, 'minlon': 59.672091, 'maxlat': 36.4066841, 'maxlon': 59.6832021}"
گاز,3,0,97,335,1,16,2,37,3,88.89,"{'minlat': 36.312966, 'minlon': 59.6197165, 'maxlat': 36.3273831, 'maxlon': 59.6398656}"
راه آهن,1,0,58,381,3,6,4,97,2,88.89,"{'minlat': 36.2959034, 'minlon': 59.6144362, 'maxlat': 36.3142779, 'maxlon': 59.633549}"
شهید هاشمی نژاد,2,0,49,269,1,9,4,169,5,88.89,"{'minlat': 36.2939669, 'minlon': 59.6059469, 'maxlat': 36.3034924, 'maxlon': 59.6221947}"
فاطمیه,2,0,60,317,0,18,3,35,4,77.78,"{'minlat': 36.3056832, 'minlon': 59.6161032, 'maxlat': 36.3201594, 'maxlon': 59.6374918}"
آیت الله کاشانی,0,0,35,407,1,5,5,125,6,77.78,"{'minlat': 36.2979703, 'minlon': 59.6059469, 'maxlat': 36.3115763, 'maxlon': 59.6216749}"
رسالت,1,0,61,260,1,2,0,15,4,77.78,"{'minlat': 36.3060047, 'minlon': 59.6374918, 'maxlat': 36.3191666, 'maxlon': 59.6534938}"
سیس آباد,9,0,101,554,2,2,2,80,0,77.78,"{'minlat': 36.3237005, 'minlon': 59.637406, 'maxlat': 36.3536393, 'maxlon': 59.6754635}"
طبرسی شمالی,3,0,17,427,0,0,0,23,6,55.56,"{'minlat': 36.3174804, 'minlon': 59.6569204, 'maxlat': 36.3362619, 'maxlon': 59.6839915}"
کوی دروی,0,0,48,306,2,1,0,67,0,55.56,"{'minlat': 36.3165819, 'minlon': 59.6398656, 'maxlat': 36.3301141, 'maxlon': 59.6546244}"
عباس آباد,0,0,37,386,1,1,0,18,1,66.67,"{'minlat': 36.3115926, 'minlon': 59.6449792, 'maxlat': 36.3262937, 'maxlon': 59.6631082}"
خیرآباد,0,0,33,162,0,3,1,13,4,66.67,"{'minlat': 36.3018205, 'minlon': 59.6341257, 'maxlat': 36.312966, 'maxlon': 59.6445943}"
بلال,0,0,51,83,0,0,0,6,1,44.44,"{'minlat': 36.3240809, 'minlon': 59.6240169, 'maxlat': 36.330972, 'maxlon': 59.6345173}"
خواجه ربیع,6,0,177,530,2,6,2,91,5,88.89,"{'minlat': 36.3257837, 'minlon': 59.6247245, 'maxlat': 36.3593452, 'maxlon': 59.6461849}"
