,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
ناحیه ۱ منطقه ۸,14,3,47,272,2,41,4,108,26,100.0,"[(36.2909554, 59.6063187), (36.2939669, 59.6102006), (36.2921808, 59.607842), (36.2911992, 59.606547), (36.2909554, 59.6063187), (36.2909554, 59.6063187), (36.2838522, 59.6122353), (36.2881847, 59.6086612), (36.2909554, 59.6063187), (36.2797072, 59.5973553), (36.2791731, 59.597885), (36.276174, 59.6008623), (36.274535, 59.6024984), (36.2736422, 59.6034737), (36.2797072, 59.5973553), (36.2812164, 59.5958546), (36.2797072, 59.5973553), (36.2804672, 59.5966016), (36.2812164, 59.5958546), (36.289408, 59.5876574), (36.2869103, 59.5901361), (36.2854023, 59.5916328), (36.2838002, 59.5932623), (36.2878627, 59.5892121), (36.289408, 59.5876574), (36.2910495, 59.5859518), (36.289408, 59.5876574), (36.2905814, 59.5864843), (36.2910495, 59.5859518)]"
ناحیه ۳ منطقه ۱۰,3,2,330,925,3,13,0,193,6,88.89,"[(36.3658332, 59.5363659), (36.3452517, 59.5480044), (36.3463705, 59.5477277), (36.3479649, 59.546982), (36.359213, 59.5403275), (36.3658332, 59.5363659), (36.3452517, 59.5480044), (36.3477968, 59.5493289), (36.3575564, 59.5517976), (36.3589782, 59.5519828), (36.3452517, 59.5480044), (36.3632062, 59.5500109), (36.3589782, 59.5519828), (36.360528, 59.5515458), (36.3620914, 59.5510623), (36.3624947, 59.5507462), (36.3632062, 59.5500109), (36.3692059, 59.5456335), (36.3662367, 59.5471211), (36.3656749, 59.5474742), (36.365188, 59.5478831), (36.3632062, 59.5500109), (36.3692059, 59.5456335), (36.3762947, 59.5418047), (36.3737483, 59.5429379), (36.3705057, 59.5448811), (36.3748853, 59.5427053), (36.3760334, 59.5420104), (36.3762947, 59.5418047), (36.3833005, 59.5295282), (36.3825443, 59.5308247), (36.3762947, 59.5418047), (36.3765589, 59.5415574), (36.3769729, 59.5409114), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3847816, 59.5271368), (36.3839435, 59.5283863), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3878799, 59.5234457), (36.3859285, 59.5256442), (36.3869328, 59.5245251), (36.3878799, 59.5234457), (36.3997806, 59.5101929), (36.3958944, 59.5144219), (36.3930916, 59.51755), (36.3878799, 59.5234457), (36.3904389, 59.5206637), (36.3997806, 59.5101929), (36.3948069, 59.4980271), (36.3974423, 59.5062613), (36.3987181, 59.5086824), (36.3997806, 59.5101929), (36.3965213, 59.5003404), (36.3948069, 59.4980271), (36.3948069, 59.4980271), (36.3835242, 59.5199128), (36.3842327, 59.5197642), (36.3864355, 59.5174974), (36.3872837, 59.5164697), (36.3879012, 59.5151815), (36.3886988, 59.5132991), (36.3907026, 59.5084445), (36.3941515, 59.4998128), (36.3948069, 59.4980271), (36.380253, 59.5148767), (36.3827071, 59.5190836), (36.3835242, 59.5199128), (36.380253, 59.5148767), (36.3741481, 59.5042625), (36.380253, 59.5148767), (36.3783402, 59.5097732), (36.3779322, 59.5087333), (36.3766176, 59.506815), (36.3759099, 59.5059486), (36.3741481, 59.5042625), (36.3741481, 59.5042625), (36.3648979, 59.5115983), (36.3720619, 59.5059845), (36.3741481, 59.5042625), (36.3648979, 59.5115983), (36.3645113, 59.5118988), (36.3642565, 59.5121536), (36.3591395, 59.5174187), (36.3625177, 59.5148371), (36.3627488, 59.5146064), (36.3630037, 59.5142913), (36.3648979, 59.5115983), (36.3591395, 59.5174187), (36.3591482, 59.5184863), (36.3592432, 59.5190871), (36.3593447, 59.519476), (36.3594851, 59.5198354), (36.359673, 59.5202512), (36.363589, 59.527992), (36.3591395, 59.5174187), (36.363589, 59.527992), (36.3640091, 59.5322245), (36.3641182, 59.5328951), (36.3643364, 59.5334919), (36.3658332, 59.5363659), (36.3640837, 59.5291413), (36.3639681, 59.5287873), (36.363589, 59.527992)]"
ناحیه ۲ منطقه ۱۰,5,1,518,739,0,12,3,84,14,88.89,"[(36.3520694, 59.501591), (36.3593004, 59.5075308), (36.3592583, 59.5065973), (36.3591223, 59.5056211), (36.3590391, 59.5051919), (36.3589257, 59.5047802), (36.3586923, 59.5042128), (36.3585012, 59.5038119), (36.3582744, 59.5034458), (36.3579796, 59.5030729), (36.3574838, 59.5025942), (36.3571134, 59.5023769), (36.3564805, 59.5020443), (36.3559361, 59.5018861), (36.3551239, 59.5018083), (36.3520694, 59.501591), (36.3466136, 59.4879713), (36.3456257, 59.4986637), (36.3454167, 59.5010733), (36.3463877, 59.4924016), (36.3466136, 59.4879713), (36.3466893, 59.476801), (36.3466136, 59.4879713), (36.3466668, 59.4834177), (36.3466893, 59.476801), (36.3510607, 59.4658001), (36.348718, 59.4684415), (36.3478828, 59.4694029), (36.347164, 59.470692), (36.346727, 59.4726217), (36.3466902, 59.4742376), (36.3466893, 59.476801), (36.3510607, 59.4658001), (36.3510607, 59.4658001), (36.3562949, 59.4732138), (36.3556127, 59.4719881), (36.3544654, 59.4701806), (36.3520511, 59.4668873), (36.3510607, 59.4658001), (36.3566149, 59.4739138), (36.3579766, 59.476928), (36.3590443, 59.478748), (36.3597993, 59.479904), (36.3566149, 59.4739138), (36.3597993, 59.479904), (36.362208, 59.4857312), (36.3628775, 59.4872577), (36.3653953, 59.4914132), (36.3597993, 59.479904), (36.3653953, 59.4914132), (36.3675501, 59.4950656), (36.3688072, 59.4969599), (36.3711138, 59.500207), (36.3653953, 59.4914132), (36.3711138, 59.500207), (36.3722688, 59.5018752), (36.3733659, 59.503398), (36.3741481, 59.5042625), (36.3711138, 59.500207), (36.3741481, 59.5042625), (36.3648979, 59.5115983), (36.3720619, 59.5059845), (36.3741481, 59.5042625), (36.3648979, 59.5115983), (36.3645113, 59.5118988), (36.3642565, 59.5121536), (36.3591395, 59.5174187), (36.3625177, 59.5148371), (36.3627488, 59.5146064), (36.3630037, 59.5142913), (36.3648979, 59.5115983), (36.3593004, 59.5075308), (36.3592454, 59.513036), (36.3593339, 59.5119081), (36.3593004, 59.5075308)]"
ناحیه ۱ منطقه ۱۰,22,0,539,1248,2,14,5,212,23,88.89,"[(36.3510607, 59.4658001), (36.3562949, 59.4732138), (36.3556127, 59.4719881), (36.3544654, 59.4701806), (36.3520511, 59.4668873), (36.3510607, 59.4658001), (36.3566149, 59.4739138), (36.3579766, 59.476928), (36.3590443, 59.478748), (36.3597993, 59.479904), (36.3566149, 59.4739138), (36.3597993, 59.479904), (36.362208, 59.4857312), (36.3628775, 59.4872577), (36.3653953, 59.4914132), (36.3597993, 59.479904), (36.3809188, 59.4608795), (36.3808297, 59.4609985), (36.3781433, 59.4656722), (36.3769847, 59.4677563), (36.3653953, 59.4914132), (36.3690793, 59.4855541), (36.3696884, 59.4844705), (36.37458, 59.4749245), (36.3748262, 59.4744042), (36.3809188, 59.4608795), (36.3881988, 59.4484914), (36.3809188, 59.4608795), (36.3845438, 59.4560391), (36.3881988, 59.4484914), (36.3825615, 59.4354343), (36.3881988, 59.4484914), (36.389946, 59.4469215), (36.3881239, 59.4429016), (36.3856256, 59.4390738), (36.3825615, 59.4354343), (36.3725932, 59.4267225), (36.3825615, 59.4354343), (36.3815747, 59.4331086), (36.3798493, 59.430778), (36.3781217, 59.4291043), (36.3764114, 59.4279027), (36.3745715, 59.4269579), (36.3725932, 59.4267225), (36.362589, 59.4201994), (36.361849, 59.4202603), (36.3663558, 59.4233966), (36.3718675, 59.4266152), (36.3725932, 59.4267225), (36.3693277, 59.4243622), (36.362589, 59.4201994), (36.361849, 59.4202603), (36.347341, 59.4424436), (36.3476696, 59.4422256), (36.3493868, 59.4410107), (36.3543667, 59.437405), (36.354712, 59.4371409), (36.3549701, 59.436911), (36.3551991, 59.4366025), (36.3573993, 59.4315068), (36.3583813, 59.4290421), (36.361849, 59.4202603), (36.347341, 59.4424436), (36.3446734, 59.4467617), (36.3432454, 59.4508815), (36.3430307, 59.4515365), (36.3424788, 59.4532661), (36.340156, 59.460644), (36.346666, 59.4444901), (36.3469982, 59.4434856), (36.347341, 59.4424436), (36.3415513, 59.4605236), (36.3405088, 59.4605894), (36.340156, 59.460644), (36.3510607, 59.4658001), (36.350458, 59.4652103), (36.3483159, 59.4638136), (36.3464888, 59.4627841), (36.3423793, 59.4607511), (36.3415513, 59.4605236)]"
ناحیه ۲ منطقه ۹,83,0,203,808,2,18,8,211,15,88.89,"[(36.2865753, 59.4869501), (36.3086325, 59.5029469), (36.3108771, 59.5044744), (36.3019339, 59.4950424), (36.3016886, 59.494797), (36.3014368, 59.4946106), (36.3010228, 59.4943719), (36.2865753, 59.4869501), (36.3108771, 59.5044744), (36.3127085, 59.5061684), (36.3230173, 59.5155166), (36.3221586, 59.5147218), (36.3210986, 59.5137495), (36.3108771, 59.5044744), (36.347341, 59.4424436), (36.3446734, 59.4467617), (36.3432454, 59.4508815), (36.3430307, 59.4515365), (36.3424788, 59.4532661), (36.340156, 59.460644), (36.346666, 59.4444901), (36.3469982, 59.4434856), (36.347341, 59.4424436), (36.337628, 59.4397469), (36.331633, 59.4401276), (36.3333421, 59.4429266), (36.347341, 59.4424436), (36.3473063, 59.4422488), (36.3472392, 59.442069), (36.3471293, 59.4419314), (36.3463165, 59.4414609), (36.3454049, 59.4409717), (36.3445844, 59.4405635), (36.337628, 59.4397469), (36.3296378, 59.4361146), (36.3285865, 59.4374288), (36.3264392, 59.4575936), (36.331633, 59.4401276), (36.3316016, 59.4390682), (36.3307793, 59.436769), (36.3296378, 59.4361146), (36.3264392, 59.4575936), (36.3243616, 59.4578141), (36.3225556, 59.4584339), (36.3082125, 59.4650515), (36.3196546, 59.4633925), (36.3264392, 59.4575936), (36.3064071, 59.4646318), (36.3005711, 59.4653322), (36.2987492, 59.4658121), (36.2970891, 59.466332), (36.2951224, 59.4677318), (36.2934305, 59.4692116), (36.2920832, 59.471573), (36.3082125, 59.4650515), (36.3064071, 59.4646318), (36.2920832, 59.471573), (36.2911807, 59.4739525), (36.2865753, 59.4869501), (36.2891362, 59.4818708), (36.2906006, 59.4768316), (36.2920832, 59.471573)]"
ناحیه ۱ منطقه ۹,65,0,885,1217,4,24,16,493,13,88.89,"[(36.2777989, 59.5548083), (36.2773747, 59.5548136), (36.2766051, 59.5549093), (36.2851098, 59.5564823), (36.2859054, 59.5563767), (36.2777989, 59.5548083), (36.2864007, 59.5570641), (36.300124, 59.5632375), (36.2872233, 59.5571248), (36.2864007, 59.5570641), (36.315082, 59.540596), (36.3073821, 59.5523129), (36.3150536, 59.540658), (36.315082, 59.540596), (36.319233, 59.5276973), (36.315082, 59.540596), (36.315455, 59.5398959), (36.319233, 59.5276973), (36.3108771, 59.5044744), (36.3127085, 59.5061684), (36.3230173, 59.5155166), (36.3221586, 59.5147218), (36.3210986, 59.5137495), (36.3108771, 59.5044744), (36.2865753, 59.4869501), (36.3086325, 59.5029469), (36.3108771, 59.5044744), (36.3019339, 59.4950424), (36.3016886, 59.494797), (36.3014368, 59.4946106), (36.3010228, 59.4943719), (36.2865753, 59.4869501), (36.2865753, 59.4869501), (36.2832081, 59.4943888), (36.2845131, 59.492149), (36.2865753, 59.4869501), (36.2832081, 59.4943888), (36.2815187, 59.4966298), (36.2778697, 59.5016722), (36.2797388, 59.4992125), (36.2832081, 59.4943888), (36.2778697, 59.5016722), (36.2768062, 59.5036119), (36.2748084, 59.5072916), (36.2677017, 59.5274363), (36.2696379, 59.5244638), (36.2704337, 59.5228751), (36.2717199, 59.5202492), (36.2724763, 59.5185895), (36.2778697, 59.5016722), (36.2677017, 59.5274363), (36.2727759, 59.5384071), (36.2716114, 59.5336385), (36.2708077, 59.5312048), (36.2698453, 59.5293107), (36.269418, 59.5286913), (36.2688756, 59.5282345), (36.2677017, 59.5274363), (36.2727759, 59.5384071), (36.2766051, 59.5549093), (36.2765914, 59.5528118), (36.2765714, 59.5523316), (36.2764411, 59.551192), (36.2762649, 59.5501497), (36.2759254, 59.5483607), (36.2755653, 59.5468667), (36.2752313, 59.5457683), (36.2740463, 59.5421943), (36.2727759, 59.5384071)]"
ناحیه ۲ منطقه ۷,6,0,262,648,1,4,1,149,5,88.89,"[(36.2341119, 59.624868), (36.2341985, 59.6251389), (36.2344018, 59.6252087), (36.2341119, 59.624868), (36.2544959, 59.6019351), (36.2341119, 59.624868), (36.2357021, 59.6241251), (36.2409548, 59.621534), (36.2437886, 59.6201152), (36.2445652, 59.6195894), (36.2454024, 59.6187338), (36.2461725, 59.6175483), (36.2525352, 59.6058967), (36.2534403, 59.6042351), (36.2544959, 59.6019351), (36.2571497, 59.590989), (36.2558809, 59.5988444), (36.2566112, 59.5965064), (36.256901, 59.5944384), (36.2571497, 59.590989), (36.2526622, 59.5816067), (36.2521036, 59.59023), (36.2527785, 59.5908952), (36.2571497, 59.590989), (36.2526622, 59.5816067), (36.2526622, 59.5816067), (36.2459691, 59.5853269), (36.2482274, 59.5852411), (36.2526622, 59.5816067), (36.2386731, 59.5841514), (36.2375106, 59.5878412), (36.2459691, 59.5853269), (36.2437602, 59.5847953), (36.2409058, 59.5843284), (36.2386731, 59.5841514), (36.2375106, 59.5878412), (36.2303236, 59.5918267), (36.237178, 59.5906089), (36.2375106, 59.5878412), (36.2303236, 59.5918267), (36.2273935, 59.5921995), (36.2218063, 59.5938282), (36.2203286, 59.5944042), (36.2113044, 59.5994713), (36.2303236, 59.5918267), (36.1988196, 59.6041747), (36.2069121, 59.6249163), (36.2154452, 59.6268596), (36.1988196, 59.6041747), (36.23188, 59.6253264), (36.2173712, 59.6258712), (36.2169059, 59.6259758), (36.216577, 59.6260965), (36.2159473, 59.6264398), (36.2154452, 59.6268596), (36.23188, 59.6253264), (36.2344018, 59.6252087), (36.23188, 59.6253264), (36.2306676, 59.6309513), (36.2321036, 59.6325288), (36.2351547, 59.6295485), (36.2346203, 59.6258309), (36.2344018, 59.6252087)]"
ناحیه ۱ منطقه ۷,7,0,54,208,1,2,0,61,2,77.78,"[(36.2341119, 59.624868), (36.2341985, 59.6251389), (36.2344018, 59.6252087), (36.2341119, 59.624868), (36.2617398, 59.5932717), (36.2594751, 59.5940883), (36.2558809, 59.5988444), (36.2563647, 59.5989006), (36.2572833, 59.5981336), (36.2617398, 59.5932717), (36.2544959, 59.6019351), (36.2341119, 59.624868), (36.2357021, 59.6241251), (36.2409548, 59.621534), (36.2437886, 59.6201152), (36.2445652, 59.6195894), (36.2454024, 59.6187338), (36.2461725, 59.6175483), (36.2525352, 59.6058967), (36.2534403, 59.6042351), (36.2544959, 59.6019351), (36.2524713, 59.6142518), (36.2344018, 59.6252087), (36.243449, 59.6232265), (36.2467435, 59.6200159), (36.250503, 59.6162716), (36.2524713, 59.6142518), (36.2524713, 59.6142518), (36.2557006, 59.6198295), (36.2540806, 59.6167248), (36.2524713, 59.6142518), (36.2557006, 59.6198295), (36.2580623, 59.6260974), (36.2580819, 59.6254957), (36.2578224, 59.6242619), (36.2573206, 59.6229261), (36.2557006, 59.6198295), (36.2580623, 59.6260974), (36.2594811, 59.6275243), (36.2641699, 59.6314564), (36.260662, 59.6283504), (36.2580623, 59.6260974), (36.2708723, 59.6258223), (36.2651845, 59.6296753), (36.2641699, 59.6314564), (36.2668236, 59.6311521), (36.2692591, 59.628483), (36.2708723, 59.6258223), (36.2765014, 59.6173075), (36.2760721, 59.6175185), (36.2739972, 59.6191335), (36.2708723, 59.6258223), (36.2765014, 59.6173075), (36.2838522, 59.6122353), (36.2765014, 59.6173075), (36.2774738, 59.6175466), (36.2776728, 59.6174165), (36.2778031, 59.6173309), (36.2779404, 59.6172366), (36.2781143, 59.6171099), (36.2784678, 59.6168199), (36.2828385, 59.6132179), (36.2838522, 59.6122353)]"
ناحیه ۳ منطقه ۴,0,0,100,327,1,0,5,14,2,66.67,"[(36.2973878, 59.6619829), (36.3013935, 59.6652433), (36.3022171, 59.6656617), (36.3032222, 59.6657395), (36.3039485, 59.6654069), (36.3045278, 59.6650529), (36.3049645, 59.6645996), (36.3053903, 59.6639183), (36.3063543, 59.6623103), (36.2973878, 59.6619829), (36.3115926, 59.6534938), (36.3104935, 59.6552896), (36.3082607, 59.659034), (36.309229, 59.6574569), (36.3115926, 59.6534938), (36.320111, 59.6673381), (36.3288348, 59.6813656), (36.3321467, 59.6839915), (36.320111, 59.6673381), (36.3058221, 59.6813835), (36.3061331, 59.6824978), (36.3080511, 59.6893406), (36.3064869, 59.6837147), (36.3058221, 59.6813835), (36.3024213, 59.6727193), (36.3046786, 59.6789859), (36.3058221, 59.6813835), (36.3027909, 59.673502), (36.3024213, 59.6727193), (36.2973878, 59.6619829), (36.2971069, 59.6626228), (36.2971032, 59.6628756), (36.2972371, 59.6632986), (36.3024213, 59.6727193), (36.2973878, 59.6619829)]"
ناحیه ۲ منطقه ۴,0,0,49,172,0,2,3,24,2,66.67,"[(36.3017221, 59.6487345), (36.3015794, 59.6488658), (36.2990805, 59.6512623), (36.3017221, 59.6487345), (36.2935832, 59.6502015), (36.2958012, 59.6508774), (36.2978397, 59.6514192), (36.2983845, 59.6514755), (36.2987023, 59.6514299), (36.2990805, 59.6512623), (36.2935832, 59.6502015), (36.2935832, 59.6502015), (36.2939896, 59.6608522), (36.2947462, 59.6569231), (36.2935832, 59.6502015), (36.2973878, 59.6619829), (36.3013935, 59.6652433), (36.3022171, 59.6656617), (36.3032222, 59.6657395), (36.3039485, 59.6654069), (36.3045278, 59.6650529), (36.3049645, 59.6645996), (36.3053903, 59.6639183), (36.3063543, 59.6623103), (36.2973878, 59.6619829), (36.3115926, 59.6534938), (36.3104935, 59.6552896), (36.3082607, 59.659034), (36.309229, 59.6574569), (36.3115926, 59.6534938)]"
ناحیه ۱ منطقه ۴,2,0,47,141,1,11,1,37,2,88.89,"[(36.2880812, 59.6590606), (36.2916513, 59.660165), (36.2939896, 59.6608522), (36.2880812, 59.6590606), (36.2935832, 59.6502015), (36.2939896, 59.6608522), (36.2947462, 59.6569231), (36.2935832, 59.6502015), (36.2935832, 59.6502015), (36.2958012, 59.6508774), (36.2978397, 59.6514192), (36.2983845, 59.6514755), (36.2987023, 59.6514299), (36.2990805, 59.6512623), (36.2935832, 59.6502015), (36.3017221, 59.6487345), (36.3015794, 59.6488658), (36.2990805, 59.6512623), (36.3017221, 59.6487345), (36.3000303, 59.6349233), (36.3018205, 59.6378606), (36.3017298, 59.6377099), (36.3000303, 59.6349233), (36.2959034, 59.6282883), (36.2963061, 59.6290589), (36.2991494, 59.633549), (36.2959034, 59.6282883), (36.2959034, 59.6282883), (36.2956341, 59.6283694), (36.2947008, 59.6288994), (36.2939399, 59.6295914), (36.2924812, 59.6310097), (36.2959034, 59.6282883), (36.2924812, 59.6310097), (36.2898251, 59.6335471), (36.2893688, 59.6343697), (36.2892256, 59.6348052), (36.2894972, 59.6358306), (36.2924812, 59.6310097), (36.2894972, 59.6358306), (36.2906592, 59.6403538), (36.290371, 59.6391142), (36.2894972, 59.6358306), (36.2906592, 59.6403538), (36.2910335, 59.6417537), (36.2915748, 59.6428395), (36.293476, 59.6458698), (36.2906592, 59.6403538), (36.293476, 59.6458698), (36.2915236, 59.6477341), (36.2910321, 59.6483637), (36.2908283, 59.6487086), (36.2900147, 59.6502771), (36.2894731, 59.6524839), (36.2880812, 59.6590606), (36.293476, 59.6458698)]"
ناحیه ۳ منطقه ۲,1,0,34,625,1,0,0,23,0,55.56,"[(36.3589782, 59.5519828), (36.3572624, 59.5534971), (36.3566576, 59.554102), (36.3549705, 59.5566514), (36.3535211, 59.5589152), (36.3516093, 59.5621929), (36.3617491, 59.5737907), (36.3589782, 59.5519828), (36.3632062, 59.5500109), (36.3589782, 59.5519828), (36.360528, 59.5515458), (36.3620914, 59.5510623), (36.3624947, 59.5507462), (36.3632062, 59.5500109), (36.3692059, 59.5456335), (36.3662367, 59.5471211), (36.3656749, 59.5474742), (36.365188, 59.5478831), (36.3632062, 59.5500109), (36.3692059, 59.5456335), (36.3762947, 59.5418047), (36.3737483, 59.5429379), (36.3705057, 59.5448811), (36.3748853, 59.5427053), (36.3760334, 59.5420104), (36.3762947, 59.5418047), (36.3833005, 59.5295282), (36.3825443, 59.5308247), (36.3762947, 59.5418047), (36.3765589, 59.5415574), (36.3769729, 59.5409114), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3847816, 59.5271368), (36.3839435, 59.5283863), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3878799, 59.5234457), (36.3859285, 59.5256442), (36.3869328, 59.5245251), (36.3878799, 59.5234457), (36.3997806, 59.5101929), (36.3958944, 59.5144219), (36.3930916, 59.51755), (36.3878799, 59.5234457), (36.3904389, 59.5206637), (36.3997806, 59.5101929), (36.3997806, 59.5101929), (36.3931115, 59.5307574), (36.3993071, 59.5266693), (36.4008632, 59.5236152), (36.4022119, 59.5143315), (36.4018376, 59.5131345), (36.3997806, 59.5101929), (36.3832585, 59.5382326), (36.3718809, 59.5519099), (36.3814319, 59.5555739), (36.3838795, 59.5534264), (36.3849351, 59.5465917), (36.3843707, 59.5412944), (36.3832585, 59.5382326), (36.3718809, 59.5519099), (36.3684173, 59.5558107), (36.3672796, 59.5578782), (36.3681969, 59.5574791), (36.3690307, 59.5566663), (36.3718809, 59.5519099), (36.3672796, 59.5578782), (36.3643976, 59.5610475), (36.3614653, 59.5658357), (36.3609302, 59.5668196), (36.3617491, 59.5737907), (36.3670998, 59.5595774), (36.3672796, 59.5578782)]"
ناحیه ۲ منطقه ۲,18,0,98,527,1,2,0,61,0,66.67,"[(36.3399398, 59.5982627), (36.3362895, 59.6062435), (36.3377113, 59.603228), (36.3392582, 59.599784), (36.3399398, 59.5982627), (36.3362895, 59.6062435), (36.3648893, 59.6225393), (36.3590943, 59.614411), (36.3362895, 59.6062435), (36.3755849, 59.6040746), (36.3648893, 59.6225393), (36.3734829, 59.611024), (36.3755849, 59.6040746), (36.3617491, 59.5737907), (36.3620724, 59.5822682), (36.3624335, 59.5874405), (36.363142, 59.5900154), (36.3714845, 59.6034419), (36.3705811, 59.5983798), (36.3617491, 59.5737907), (36.3589782, 59.5519828), (36.3572624, 59.5534971), (36.3566576, 59.554102), (36.3549705, 59.5566514), (36.3535211, 59.5589152), (36.3516093, 59.5621929), (36.3617491, 59.5737907), (36.3589782, 59.5519828), (36.3452517, 59.5480044), (36.3477968, 59.5493289), (36.3575564, 59.5517976), (36.3589782, 59.5519828), (36.3452517, 59.5480044), (36.3452517, 59.5480044), (36.3479368, 59.564741), (36.3481874, 59.5655724), (36.3472001, 59.559567), (36.3452517, 59.5480044), (36.3481874, 59.5655724), (36.3497493, 59.576143), (36.3499005, 59.573831), (36.3497277, 59.5710629), (36.3488938, 59.5677048), (36.3481874, 59.5655724), (36.3497493, 59.576143), (36.3461091, 59.5849983), (36.3485914, 59.5801717), (36.3493216, 59.5781279), (36.3497493, 59.576143), (36.3434367, 59.5903212), (36.3399398, 59.5982627), (36.3410126, 59.595868), (36.3434367, 59.5903212)]"
ناحیه ۴ منطقه ۲,14,0,152,595,0,4,3,32,0,66.67,"[(36.3384956, 59.5851928), (36.3422268, 59.5891195), (36.3434367, 59.5903212), (36.3384956, 59.5851928), (36.3261639, 59.543501), (36.3254486, 59.5480326), (36.325304, 59.5504701), (36.3261639, 59.543501), (36.340026, 59.5471437), (36.3435371, 59.5479842), (36.3444469, 59.5480593), (36.3452517, 59.5480044), (36.340026, 59.5471437), (36.3452517, 59.5480044), (36.3479368, 59.564741), (36.3481874, 59.5655724), (36.3472001, 59.559567), (36.3452517, 59.5480044), (36.3481874, 59.5655724), (36.3497493, 59.576143), (36.3499005, 59.573831), (36.3497277, 59.5710629), (36.3488938, 59.5677048), (36.3481874, 59.5655724), (36.3497493, 59.576143), (36.3461091, 59.5849983), (36.3485914, 59.5801717), (36.3493216, 59.5781279), (36.3497493, 59.576143)]"
ناحیه ۱ منطقه ۲,24,0,151,1540,0,16,2,122,13,77.78,"[(36.3399398, 59.5982627), (36.3362895, 59.6062435), (36.3377113, 59.603228), (36.3392582, 59.599784), (36.3399398, 59.5982627), (36.3255976, 59.6231243), (36.3266481, 59.6237442), (36.3273831, 59.6240169), (36.3255976, 59.6231243), (36.3031026, 59.609197), (36.3032125, 59.6093045), (36.3074113, 59.6118982), (36.3115763, 59.6144362), (36.3031026, 59.609197), (36.3164062, 59.5859143), (36.3140747, 59.5884698), (36.3124625, 59.5902776), (36.3164062, 59.5859143), (36.3384956, 59.5851928), (36.3422268, 59.5891195), (36.3434367, 59.5903212), (36.3384956, 59.5851928), (36.3434367, 59.5903212), (36.3399398, 59.5982627), (36.3410126, 59.595868), (36.3434367, 59.5903212)]"
شهید علی محمدی,1,0,0,77,0,0,0,5,0,33.33,"[(36.3828157, 59.6746449), (36.3823542, 59.6748322), (36.384213, 59.6787038), (36.3851879, 59.6795076), (36.3864784, 59.6800685), (36.387463, 59.6804143), (36.3896021, 59.6804836), (36.3925902, 59.6803562), (36.3932195, 59.6803034), (36.3837458, 59.6748757), (36.3828157, 59.6746449), (36.3963997, 59.6695592), (36.3954131, 59.6728903), (36.3961558, 59.670428), (36.3963997, 59.6695592), (36.3928957, 59.6668333), (36.3826522, 59.669795), (36.384936, 59.6703634), (36.3963997, 59.6695592), (36.3939698, 59.667041), (36.3928957, 59.6668333), (36.3826522, 59.669795), (36.3819525, 59.6727776), (36.3823542, 59.6748322), (36.3828336, 59.6730995), (36.3826522, 59.669795)]"
شهید شهریاری,1,0,1,61,0,0,1,7,0,55.56,"[(36.4038415, 59.67683), (36.3932195, 59.6803034), (36.4012231, 59.6832021), (36.4023947, 59.6829713), (36.4066841, 59.6768525), (36.4038415, 59.67683), (36.3972633, 59.672091), (36.3954131, 59.6728903), (36.3968035, 59.6734965), (36.4066841, 59.6768525), (36.4066392, 59.6760821), (36.4030383, 59.6735608), (36.4018121, 59.6728313), (36.3972633, 59.672091)]"
گاز,1,0,20,41,1,2,1,3,1,88.89,"[(36.3240809, 59.6308815), (36.3227756, 59.6326545), (36.3191666, 59.6398656), (36.3240809, 59.6308815), (36.3255976, 59.6231243), (36.3266481, 59.6237442), (36.3273831, 59.6240169), (36.3255976, 59.6231243), (36.312966, 59.6374918), (36.3170757, 59.6391588), (36.3174236, 59.6392903), (36.3191666, 59.6398656), (36.312966, 59.6374918)]"
فاطمیه,0,0,8,57,0,1,0,3,1,55.56,"[(36.3142779, 59.6161032), (36.3108371, 59.6237817), (36.3114877, 59.6233392), (36.3128234, 59.6223977), (36.3130633, 59.6221831), (36.3133486, 59.6217433), (36.3136166, 59.6210378), (36.3142779, 59.6161032), (36.3108371, 59.6237817), (36.3068428, 59.6306777), (36.3056832, 59.6341257), (36.3077766, 59.6322012), (36.3110597, 59.6267134), (36.3112042, 59.6264392), (36.3120194, 59.6248921), (36.3108371, 59.6237817), (36.3056832, 59.6341257), (36.3113526, 59.6370681), (36.3115741, 59.637174), (36.312966, 59.6374918), (36.3068666, 59.6343228), (36.3065964, 59.6342142), (36.3062646, 59.6341579), (36.3056832, 59.6341257)]"
شهید هاشمی نژاد,1,0,25,84,0,1,4,79,2,77.78,"[(36.2979703, 59.6059469), (36.3021922, 59.6180525), (36.3034924, 59.6216749), (36.2989206, 59.60841), (36.2979703, 59.6059469), (36.2939669, 59.6102006), (36.2955886, 59.6123862), (36.2997119, 59.6178421), (36.2990367, 59.6169187), (36.2939669, 59.6102006), (36.3034924, 59.6216749), (36.3033055, 59.6218452), (36.3029718, 59.6221947), (36.3034924, 59.6216749)]"
