highway,count,length
footway,35,2652.088
residential,478,100976.236
secondary,12,14958.918
secondary_link,8,129.016
service,29,7545.804
steps,4,31.111
tertiary,22,8527.301
track,2,3094.605
unclassified,6,1611.84
