amenity,count
atm,8
bank,1
cafe,1
car_wash,2
casino,1
clinic,4
doctors,1
events_venue,1
fast_food,4
fire_station,2
food_court,1
fuel,2
marketplace,1
parking,3
pharmacy,3
place_of_worship,4
police,1
restaurant,7
school,1
waste_basket,1
