highway,count,length
footway,4,154.565
primary,5,3876.477
primary_link,3,142.091
residential,138,21985.769
secondary,16,4053.195
secondary_link,8,369.158
service,5,502.148
tertiary,10,5641.237
tertiary_link,5,202.419
unclassified,1,32.091
